Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.491848175343252e+00     1.538945417120720e+00     1.587149460726270e+00     1.629332911135853e+00     1.666574637971233e+00     4.519374700756662e-02     8.736323131399049e-02 
log_Z                        -1.975487413940325e+00    -1.902299122308940e+00    -1.823986341643788e+00    -1.746504837382124e+00    -1.666268994139823e+00     7.789714246340795e-02     1.546092099002511e-01 
mHe                           1.452137322030662e-01     1.475437837012863e-01     1.504950870950652e-01     1.536289245383113e-01     1.575740157238408e-01     3.042570418512483e-03     6.180141760387309e-03 
A3_surf                       2.044622190986576e-12     2.674468651533862e-12     3.306882707551703e-12     3.948842337864794e-12     4.621903192736664e-12     6.371868431654659e-13     1.288640500875044e-12 
Am1_surf                     -6.211163373507878e-07    -5.568254283879544e-07    -4.960818853519291e-07    -4.362491107525960e-07    -3.766208139412316e-07     6.028815881767916e-08     1.222477617047781e-07 
Radius                        9.791992700995916e+00     9.900607197314413e+00     1.000944866098984e+01     1.010135137492572e+01     1.018202489441327e+01     1.003720888056518e-01     1.950160967086791e-01 
Mass                          1.491848175343252e+00     1.538945417120720e+00     1.587149460726270e+00     1.629332911135853e+00     1.666574637971233e+00     4.519374700756662e-02     8.736323131399049e-02 
log_g                         2.630004596409733e+00     2.634035711341101e+00     2.637903869839406e+00     2.641287226708509e+00     2.644282342427863e+00     3.625757683704434e-03     7.138873009065350e-03 
Rho                           2.223135945278379e-03     2.227290553902077e-03     2.231719965189138e-03     2.236573851692064e-03     2.241392827955772e-03     4.641648894993617e-06     9.128441338696449e-06 
Age                           1.723349934459667e+03     1.917475564153366e+03     2.174315852886232e+03     2.510431073487868e+03     2.881993313519337e+03     2.964777546672511e+02     5.793216895298351e+02 
Teff                          4.569558333200721e+03     4.616837745277554e+03     4.660058408048457e+03     4.705863917978968e+03     4.744922076114254e+03     4.451308635070700e+01     8.768187145676666e+01 
Xc                            8.308644204005346e-34     1.085936790880274e-33     1.272406795765322e-33     1.446433114390792e-33     1.590465830586928e-33     1.802481617552587e-34     3.798007050931968e-34 
Luminosity                    3.811329291379052e+01     4.035660147435296e+01     4.255813845412890e+01     4.486788679996791e+01     4.679564506340972e+01     2.255642662807475e+00     4.341176074809596e+00 
Dnu                           5.070132000141031e+00     5.074695662154201e+00     5.079483589703766e+00     5.084343372598248e+00     5.089132272270575e+00     4.823855222023443e-03     9.500136064771958e-03 
numax                         5.368644129250886e+01     5.412014878001526e+01     5.446627557182882e+01     5.483629295352385e+01     5.515819952642799e+01     3.580720867542908e-01     7.358791169595662e-01 
Fe_H                         -2.220697507386389e-01    -1.455315910363487e-01    -6.430007195392895e-02     1.634568437972372e-02     1.006439092927496e-01     8.093863770803622e-02     1.613568300156942e-01 
