
################################################################################
############################   Model: statistical   ############################
################################################################################
ln(P)                                   -2.144817849076220e+05
Mass                                     1.070484921927347e+00
log_Z                                   -1.758967936244523e+00
Age                                      9.608891589863251e+03
Radius                                   5.307368867414399e+00
Mass                                     1.070484921927347e+00
log_g                                    3.017880973757540e+00
Rho                                      1.009466408859900e-02
Age                                      9.608891589863251e+03
Teff                                     4.662581951448567e+03
X                                        7.131319747312750e-01
numax                                    1.312482870520437e+02
Dnu                                      1.103917694110188e+01
Luminosity                               1.199389091234977e+01
Fe_H                                     1.006735325682529e-03
M_H                                      1.006735325682529e-03
DNl1                                     8.619059777160264e+01

################################################################################
################################   Frequencies   ###############################
################################################################################
l    n    freq_theo         freq_obs          dfreq_obs        
   0    1  1.7456450626e+01  1.7620488000e+01  5.6328968531e-03
   0    2  3.2491537600e+01  3.2803918000e+01  1.3364423384e-02
   0    3  4.5701259205e+01  4.6147173000e+01  2.8218674209e-02
   0    4  5.8316377753e+01  5.8890699000e+01  2.8865860034e-02
   0    5  6.9829271056e+01  7.0538011000e+01  1.4803049445e-02
   0    6  8.0582531507e+01  8.1397177000e+01  2.6609251497e-02
   0    7  9.1705470784e+01  9.2632314000e+01  1.8146905848e-02
   0    8  1.0240346314e+02  1.0344235000e+02  2.4831353728e-02
   0    9  1.1341557933e+02  1.1454943000e+02  1.8400340123e-02
   0   10  1.2471661244e+02  1.2596129000e+02  2.0795293368e-02
   0   11  1.3595334616e+02  1.3730648000e+02  2.4389405247e-02
   0   12  1.4738195568e+02  1.4883971000e+02  1.1495586117e-02
   0   13  1.5894716726e+02  1.6051560000e+02  2.8328189735e-02
   0   14  1.7053649042e+02  1.7221626000e+02  2.9637435108e-02
   0   15  1.8218765246e+02  1.8397868000e+02  1.0684527069e-02
   0   16  1.9385944351e+02  1.9576416000e+02  2.2853326224e-02
   0   17  2.0553124082e+02  2.0754978000e+02  1.0333189739e-02
   0   18  2.1719333807e+02  2.1932789000e+02  2.3995447341e-02
   0   19  2.2878557516e+02  2.3104008000e+02  2.0134545248e-02
   0   20  2.4025478586e+02  2.4263344000e+02  2.7188883843e-02
   0   21  2.5151344378e+02  2.5402588000e+02  1.4095468343e-02
   0   22  2.6243166547e+02  2.6508865000e+02  2.1638810900e-02
   0   23  2.7296230588e+02  2.7575988000e+02  1.7456108419e-02
   0   24  2.8333233636e+02  2.8623713000e+02  1.8151593761e-02
   0   25  2.9393856641e+02  2.9691783000e+02  7.8093440702e-03
   0   26  3.0493758589e+02  3.0799109000e+02  2.5450000946e-02
   0   27  3.1623728727e+02  3.1937760000e+02  2.5620893326e-02
   0   28  3.2771718971e+02  3.3095543000e+02  2.9500099091e-02
