Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.494209527477394e+00     1.535037433703156e+00     1.581598274478860e+00     1.616375221998720e+00     1.646820152434234e+00     4.066889414778174e-02     7.630531247842010e-02 
log_Z                        -1.988370911262802e+00    -1.911691288603099e+00    -1.833829968000124e+00    -1.759220074595125e+00    -1.672298375507594e+00     7.623560700398713e-02     1.580362678776044e-01 
mHe                           1.297182259845784e-01     1.313261239070824e-01     1.331231340306618e-01     1.357531419887248e-01     1.384198440817486e-01     2.213509040821196e-03     4.350809048585091e-03 
A3_surf                       4.737125649712493e-13     6.581967532888636e-13     8.428915987324070e-13     1.028634160196221e-12     1.214742945032885e-12     1.852187034536785e-13     3.705151900308177e-13 
Am1_surf                     -3.160028751307497e-07    -2.833529166538798e-07    -2.498602338619176e-07    -2.171872742067713e-07    -1.839489278655528e-07     3.308282122355425e-08     6.602697363259844e-08 
Radius                        6.123681498377437e+00     6.183970472171444e+00     6.250484517255458e+00     6.300249737667460e+00     6.342563445427319e+00     5.813963274800793e-02     1.094409735249413e-01 
Mass                          1.494209527477394e+00     1.535037433703156e+00     1.581598274478860e+00     1.616375221998720e+00     1.646820152434233e+00     4.066889414778174e-02     7.630531247841987e-02 
log_g                         3.038347513898026e+00     3.041670132974407e+00     3.045316154272258e+00     3.047926270843746e+00     3.050292173722104e+00     3.128068934669326e-03     5.972329912039109e-03 
Rho                           9.092710263207925e-03     9.110414641202637e-03     9.130981524209131e-03     9.154353448405751e-03     9.177746293139338e-03     2.196940360155684e-05     4.251801496570669e-05 
Age                           1.718398499333444e+03     1.881033975671317e+03     2.107697483028525e+03     2.427630771862181e+03     2.781193625780877e+03     2.732983980954318e+02     5.313975632237161e+02 
Teff                          4.759849273943157e+03     4.811456277020345e+03     4.852842138611148e+03     4.898279759551728e+03     4.939750853637977e+03     4.341174126569149e+01     8.995078984741031e+01 
Xc                            8.452124536089351e-34     1.050164039840269e-33     1.237845610020033e-33     1.378648680011340e-33     1.506610734542033e-33     1.642423200855352e-34     3.306991404665491e-34 
Luminosity                    1.751532731482931e+01     1.857063072521771e+01     1.954527413008409e+01     2.048434276550987e+01     2.134313897832299e+01     9.568560201460805e-01     1.913905831746840e+00 
Dnu                           1.066260908362515e+01     1.067309854498438e+01     1.068351367196165e+01     1.069382602226445e+01     1.070595762365695e+01     1.036373864003437e-02     2.167427001589939e-02 
numax                         1.346379620316257e+02     1.355761560197793e+02     1.363335450397595e+02     1.370702071349563e+02     1.378427765523488e+02     7.470255575884863e-01     1.602407260361559e+00 
Fe_H                         -2.348448186930436e-01    -1.553362001285296e-01    -7.513804349769443e-02     1.558383025297691e-03     9.478190217082552e-02     7.844729157691364e-02     1.648133604319346e-01 
