Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.032160320712967e+00     1.049519124282577e+00     1.057932691995152e+00     1.065875051973372e+00     1.076732633095781e+00     8.177963845397151e-03     2.228615619140706e-02 
log_Z                        -1.811032018397710e+00    -1.782649981318860e+00    -1.764085937850716e+00    -1.718314864393270e+00    -1.630649929876173e+00     3.216755846279495e-02     9.019104426076852e-02 
mHe                           1.785659390694635e-01     1.797396867701542e-01     1.808975317041669e-01     1.821608160129354e-01     1.839273110728036e-01     1.210564621390603e-03     2.680686001670041e-03 
Radius                        5.202511999288484e+00     5.234048775625030e+00     5.248556270711859e+00     5.262397531774677e+00     5.281652906326706e+00     1.417437807482314e-02     3.957045351911104e-02 
Mass                          1.032121174958386e+00     1.049479320177301e+00     1.057892568796563e+00     1.065834627552512e+00     1.076691796889856e+00     8.177653687605591e-03     2.228531096573483e-02 
log_g                         3.019675321808807e+00     3.021345323119202e+00     3.022421879054534e+00     3.023444314239777e+00     3.024609660173887e+00     1.049495560287772e-03     2.467169182540419e-03 
Rho                           1.030220395775492e-02     1.030923994997985e-02     1.031376797988036e-02     1.032264545172450e-02     1.034097791068826e-02     6.702750872325178e-06     1.938697646666938e-05 
Age                           9.004895042423166e+03     9.612732368098041e+03     1.004185794596305e+04     1.052253518460188e+04     1.209185491974263e+04     4.549014082519216e+02     1.543479938659733e+03 
Teff                          4.599510701732072e+03     4.648687601228327e+03     4.673439253695844e+03     4.686682313273025e+03     4.707115224006223e+03     1.899735602234887e+01     5.380226113707522e+01 
Xc                            2.557229717525814e-34     2.614377105791451e-34     2.661501766997066e-34     2.703322110384829e-34     2.749818953308539e-34     4.447250229668908e-36     9.629461789136253e-36 
Luminosity                    1.091044469572776e+01     1.155632584637090e+01     1.182175857426199e+01     1.201827066856724e+01     1.232114674934696e+01     2.309724110981701e-01     7.053510268095993e-01 
Dnu                           1.124868869220718e+01     1.125267213665621e+01     1.125797862687931e+01     1.126588563459476e+01     1.127954303135007e+01     6.606748969272047e-03     1.542716957144208e-02 
numax                         1.313707786263811e+02     1.316148748285036e+02     1.318967547986840e+02     1.322634406494443e+02     1.327018057833488e+02     3.242829104703446e-01     6.655135784838393e-01 
Fe_H                         -4.480606104845584e-02    -2.036147501363388e-02    -5.025625535822427e-03     5.165611636556524e-02     1.505765778482999e-01     3.600879568959956e-02     9.769131944837786e-02 
