# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Mass of He core, $M_{He-core}/M_{\odot}$
  -1.986997910160302e+01  1.057910039374833e+00 -1.782106951314638e+00  1.811441323445880e-01
  -1.986997910160302e+01  1.057910039374833e+00 -1.782106951314638e+00  1.811441323445880e-01
  -1.951281660623761e+01  1.060381651601517e+00 -1.776374742225996e+00  1.806944714676891e-01
  -1.951281660623761e+01  1.060381651601517e+00 -1.776374742225996e+00  1.806944714676891e-01
  -1.951281660623761e+01  1.060381651601517e+00 -1.776374742225996e+00  1.806944714676891e-01
  -2.029429318778597e+01  1.058152571286940e+00 -1.777308244618173e+00  1.810474466939659e-01
  -2.043687529581835e+01  1.051213760631353e+00 -1.769412663067613e+00  1.820225670644252e-01
  -1.926126334642797e+01  1.053386429206846e+00 -1.756914866858403e+00  1.815313355951858e-01
  -1.926126334642797e+01  1.053386429206846e+00 -1.756914866858403e+00  1.815313355951858e-01
  -2.235487444209048e+01  1.069135093428436e+00 -1.755813625604783e+00  1.791016696908407e-01
  -2.023940276875637e+01  1.065647341164017e+00 -1.763258534249199e+00  1.797214424302631e-01
  -2.126154008015696e+01  1.054747891829250e+00 -1.789310752121527e+00  1.817147508574118e-01
  -2.126154008015696e+01  1.054747891829250e+00 -1.789310752121527e+00  1.817147508574118e-01
  -1.891379286828864e+01  1.057123116436742e+00 -1.768564129661746e+00  1.811008464444788e-01
  -1.891379286828864e+01  1.057123116436742e+00 -1.768564129661746e+00  1.811008464444788e-01
  -1.891379286828864e+01  1.057123116436742e+00 -1.768564129661746e+00  1.811008464444788e-01
  -1.891379286828864e+01  1.057123116436742e+00 -1.768564129661746e+00  1.811008464444788e-01
  -1.900720219608142e+01  1.054446046077630e+00 -1.768876820713984e+00  1.815170956265205e-01
  -1.900720219608142e+01  1.054446046077630e+00 -1.768876820713984e+00  1.815170956265205e-01
  -1.900720219608142e+01  1.054446046077630e+00 -1.768876820713984e+00  1.815170956265205e-01
  -2.045418227950370e+01  1.042865925728754e+00 -1.748309098590080e+00  1.831821138952031e-01
  -2.045418227950370e+01  1.042865925728754e+00 -1.748309098590080e+00  1.831821138952031e-01
  -2.022000041957504e+01  1.061403007372439e+00 -1.788154298112646e+00  1.806804247403295e-01
  -2.019796400025058e+01  1.061692439088550e+00 -1.788423235765014e+00  1.806396111144589e-01
  -2.084188994019380e+01  1.065368788016528e+00 -1.787992972124400e+00  1.800715622261646e-01
  -2.152534500276751e+01  1.060748338688557e+00 -1.784597136074364e+00  1.807359418706507e-01
  -2.157476554690590e+01  1.064921275398582e+00 -1.802239217825527e+00  1.803081756530432e-01
  -2.157476554690590e+01  1.064921275398582e+00 -1.802239217825527e+00  1.803081756530432e-01
  -2.157476554690590e+01  1.064921275398582e+00 -1.802239217825527e+00  1.803081756530432e-01
