# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Mass of He core, $M_{He-core}/M_{\odot}$
  -1.874591102729286e+01  1.053378441798876e+00 -1.755356082778475e+00  1.815292337058463e-01
  -1.874591102729286e+01  1.053378441798876e+00 -1.755356082778475e+00  1.815292337058463e-01
  -1.874591102729286e+01  1.053378441798876e+00 -1.755356082778475e+00  1.815292337058463e-01
  -1.874591102729286e+01  1.053378441798876e+00 -1.755356082778475e+00  1.815292337058463e-01
  -1.874591102729286e+01  1.053378441798876e+00 -1.755356082778475e+00  1.815292337058463e-01
  -1.874591102729286e+01  1.053378441798876e+00 -1.755356082778475e+00  1.815292337058463e-01
  -2.029561079540922e+01  1.053821586982374e+00 -1.779218359897497e+00  1.817386615736551e-01
  -1.963851906942545e+01  1.056620207584794e+00 -1.778752566113046e+00  1.813023233896886e-01
  -1.963851906942545e+01  1.056620207584794e+00 -1.778752566113046e+00  1.813023233896886e-01
  -1.927102354478507e+01  1.058812617344921e+00 -1.717752773046983e+00  1.805407356056313e-01
  -1.927102354478507e+01  1.058812617344921e+00 -1.717752773046983e+00  1.805407356056313e-01
  -2.100120850981182e+01  1.067026886070807e+00 -1.761772087210345e+00  1.794881772122643e-01
  -1.955031092433766e+01  1.058259392658932e+00 -1.755560340830633e+00  1.807768423893509e-01
  -1.955031092433766e+01  1.058259392658932e+00 -1.755560340830633e+00  1.807768423893509e-01
  -2.024683322664711e+01  1.062652601190748e+00 -1.700897760615415e+00  1.798698806846259e-01
  -2.057267749541609e+01  1.063095571016071e+00 -1.699891645284697e+00  1.797965575377131e-01
  -1.943396916526778e+01  1.060491175092641e+00 -1.713648626991601e+00  1.802665146142548e-01
  -1.926658381582119e+01  1.055231095999719e+00 -1.772943654748677e+00  1.814452882926652e-01
  -1.926658381582119e+01  1.055231095999719e+00 -1.772943654748677e+00  1.814452882926652e-01
  -2.437542315592143e+01  1.032160320712967e+00 -1.674600493189629e+00  1.845123387537167e-01
  -2.437542315592143e+01  1.032160320712967e+00 -1.674600493189629e+00  1.845123387537167e-01
  -2.341052746524490e+01  1.037396647394959e+00 -1.684033072887907e+00  1.838221282208298e-01
  -2.341052746524490e+01  1.037396647394959e+00 -1.684033072887907e+00  1.838221282208298e-01
  -2.341052746524490e+01  1.037396647394959e+00 -1.684033072887907e+00  1.838221282208298e-01
  -2.340232368742623e+01  1.076624481228966e+00 -1.817546047204910e+00  1.787195676756489e-01
  -2.161187267725455e+01  1.072170801650985e+00 -1.797881814371671e+00  1.791477242664288e-01
  -2.378131894543691e+01  1.076465781192699e+00 -1.793421372979588e+00  1.784635088580672e-01
  -2.240631880503327e+01  1.032093867033411e+00 -1.655555446432321e+00  1.843666088270399e-01
  -2.240631880503327e+01  1.032093867033411e+00 -1.655555446432321e+00  1.843666088270399e-01
  -2.066672131912696e+01  1.051027135485783e+00 -1.779115019487805e+00  1.821658691270922e-01
  -2.399421296597072e+01  1.071957719282484e+00 -1.811374429501655e+00  1.793413507570181e-01
  -1.877067574570794e+01  1.052591172668113e+00 -1.763856042733484e+00  1.817408493831059e-01
  -1.877067574570794e+01  1.052591172668113e+00 -1.763856042733484e+00  1.817408493831059e-01
  -2.187049052304170e+01  1.051773366515020e+00 -1.767086375371240e+00  1.819096270111240e-01
  -1.956179380473392e+01  1.054877128788604e+00 -1.757238165687587e+00  1.813048047812947e-01
  -1.956179380473392e+01  1.054877128788604e+00 -1.757238165687587e+00  1.813048047812947e-01
  -1.897263301192880e+01  1.057209154340525e+00 -1.769776711378821e+00  1.811028762997858e-01
  -1.897263301192880e+01  1.057209154340525e+00 -1.769776711378821e+00  1.811028762997858e-01
  -1.897263301192880e+01  1.057209154340525e+00 -1.769776711378821e+00  1.811028762997858e-01
  -1.897263301192880e+01  1.057209154340525e+00 -1.769776711378821e+00  1.811028762997858e-01
  -2.197814904169503e+01  1.070803647420735e+00 -1.804979062952266e+00  1.794326836826654e-01
  -2.318381250777886e+01  1.038789184915225e+00 -1.688115930554886e+00  1.836131406043106e-01
  -2.128892057565458e+01  1.059426827345603e+00 -1.759865019472594e+00  1.806349866470603e-01
  -2.128892057565458e+01  1.059426827345603e+00 -1.759865019472594e+00  1.806349866470603e-01
  -2.128892057565458e+01  1.059426827345603e+00 -1.759865019472594e+00  1.806349866470603e-01
  -2.128892057565458e+01  1.059426827345603e+00 -1.759865019472594e+00  1.806349866470603e-01
  -2.058749900321470e+01  1.065638688590124e+00 -1.792977847842355e+00  1.800882245886072e-01
  -2.058749900321470e+01  1.065638688590124e+00 -1.792977847842355e+00  1.800882245886072e-01
  -2.058749900321470e+01  1.065638688590124e+00 -1.792977847842355e+00  1.800882245886072e-01
  -2.152214529684920e+01  1.048057348283744e+00 -1.746903895826913e+00  1.823395715095794e-01
  -2.152214529684920e+01  1.048057348283744e+00 -1.746903895826913e+00  1.823395715095794e-01
  -2.209928540008679e+01  1.073948995566740e+00 -1.795382599955951e+00  1.788563013255499e-01
  -1.886460682073422e+01  1.058431211956016e+00 -1.758519412281903e+00  1.807743504541066e-01
  -2.090250158014411e+01  1.067189947021719e+00 -1.732504181897919e+00  1.793315960397511e-01
  -2.090250158014411e+01  1.067189947021719e+00 -1.732504181897919e+00  1.793315960397511e-01
  -2.129836517510450e+01  1.045880199963329e+00 -1.771766082092097e+00  1.828986990355269e-01
  -2.129836517510450e+01  1.045880199963329e+00 -1.771766082092097e+00  1.828986990355269e-01
  -2.150220794593592e+01  1.050445599097779e+00 -1.778932223034117e+00  1.822504975713971e-01
  -2.150220794593592e+01  1.050445599097779e+00 -1.778932223034117e+00  1.822504975713971e-01
  -2.261251485342309e+01  1.058785096516180e+00 -1.800028949409106e+00  1.812210798628658e-01
  -2.341863586182702e+01  1.079420839042994e+00 -1.809220936736225e+00  1.782101786079754e-01
  -2.341863586182702e+01  1.079420839042994e+00 -1.809220936736225e+00  1.782101786079754e-01
  -2.341863586182702e+01  1.079420839042994e+00 -1.809220936736225e+00  1.782101786079754e-01
  -2.341863586182702e+01  1.079420839042994e+00 -1.809220936736225e+00  1.782101786079754e-01
  -2.250490632012132e+01  1.064920528604476e+00 -1.725439092813439e+00  1.796546997651876e-01
  -2.294752837867752e+01  1.061621096266497e+00 -1.738731453867979e+00  1.802120586704669e-01
  -2.294752837867752e+01  1.061621096266497e+00 -1.738731453867979e+00  1.802120586704669e-01
  -1.885017739213198e+01  1.058874653926838e+00 -1.745560027498770e+00  1.806547852757351e-01
  -1.885017739213198e+01  1.058874653926838e+00 -1.745560027498770e+00  1.806547852757351e-01
  -1.905788430288552e+01  1.059548055132627e+00 -1.746715167850535e+00  1.805547159138460e-01
  -2.261891610953827e+01  1.068877028184635e+00 -1.802083908981286e+00  1.796963229458916e-01
  -2.243339380659352e+01  1.049478062638091e+00 -1.722553527721154e+00  1.820284160825779e-01
  -2.243339380659352e+01  1.049478062638091e+00 -1.722553527721154e+00  1.820284160825779e-01
  -2.079045656514720e+01  1.069536684397629e+00 -1.779567469168355e+00  1.793228933523733e-01
  -2.079045656514720e+01  1.069536684397629e+00 -1.779567469168355e+00  1.793228933523733e-01
  -2.166714492095569e+01  1.067793796506435e+00 -1.779169387858430e+00  1.795867534080915e-01
  -2.167686059293516e+01  1.067803111602065e+00 -1.779117418456797e+00  1.795846704999304e-01
  -1.983693525078364e+01  1.065225714960943e+00 -1.778961263064051e+00  1.799819332825398e-01
  -1.983693525078364e+01  1.065225714960943e+00 -1.778961263064051e+00  1.799819332825398e-01
  -2.021432697508055e+01  1.047173610336116e+00 -1.751368042357392e+00  1.824940005718609e-01
  -2.021432697508055e+01  1.047173610336116e+00 -1.751368042357392e+00  1.824940005718609e-01
  -2.021432697508055e+01  1.047173610336116e+00 -1.751368042357392e+00  1.824940005718609e-01
  -2.021432697508055e+01  1.047173610336116e+00 -1.751368042357392e+00  1.824940005718609e-01
  -2.021432697508055e+01  1.047173610336116e+00 -1.751368042357392e+00  1.824940005718609e-01
  -2.028561735533668e+01  1.067645519001519e+00 -1.777455543296568e+00  1.795912016832867e-01
  -2.028561735533668e+01  1.067645519001519e+00 -1.777455543296568e+00  1.795912016832867e-01
  -2.042601675252253e+01  1.061493449124725e+00 -1.779357307227493e+00  1.805626101160481e-01
  -2.042601675252253e+01  1.061493449124725e+00 -1.779357307227493e+00  1.805626101160481e-01
  -2.042601675252253e+01  1.061493449124725e+00 -1.779357307227493e+00  1.805626101160481e-01
  -1.988510994895793e+01  1.054464086678192e+00 -1.778703708290587e+00  1.816328432518665e-01
  -2.228407822987796e+01  1.070641621573953e+00 -1.720820764825098e+00  1.787631364134148e-01
  -2.228407822987796e+01  1.070641621573953e+00 -1.720820764825098e+00  1.787631364134148e-01
  -2.458026596413691e+01  1.051111581332236e+00 -1.759015667963618e+00  1.819042675620578e-01
  -2.019371349683724e+01  1.064825089445350e+00 -1.776187536318181e+00  1.800106884332333e-01
  -1.937279454482602e+01  1.060172355448079e+00 -1.776656925198451e+00  1.807311614368022e-01
  -1.937279454482602e+01  1.060172355448079e+00 -1.776656925198451e+00  1.807311614368022e-01
  -1.937279454482602e+01  1.060172355448079e+00 -1.776656925198451e+00  1.807311614368022e-01
  -1.937279454482602e+01  1.060172355448079e+00 -1.776656925198451e+00  1.807311614368022e-01
  -2.021231869980098e+01  1.066520780293721e+00 -1.767879107600257e+00  1.796444839823004e-01
  -2.021231869980098e+01  1.066520780293721e+00 -1.767879107600257e+00  1.796444839823004e-01
  -2.016657465862042e+01  1.061887913880037e+00 -1.771932918378616e+00  1.804070772461860e-01
  -2.016657465862042e+01  1.061887913880037e+00 -1.771932918378616e+00  1.804070772461860e-01
  -2.154634380567988e+01  1.058338625933996e+00 -1.689217397015748e+00  1.804448932697523e-01
  -2.154634380567988e+01  1.058338625933996e+00 -1.689217397015748e+00  1.804448932697523e-01
  -2.053096110131465e+01  1.064101548586339e+00 -1.785495954219625e+00  1.802358718745494e-01
  -2.053096110131465e+01  1.064101548586339e+00 -1.785495954219625e+00  1.802358718745494e-01
  -2.012275702135866e+01  1.065156901980402e+00 -1.786564778788532e+00  1.800849278284045e-01
  -2.012275702135866e+01  1.065156901980402e+00 -1.786564778788532e+00  1.800849278284045e-01
  -2.057212773833506e+01  1.047149914615056e+00 -1.751342395761056e+00  1.824974393231342e-01
  -2.011718533249817e+01  1.060662770165411e+00 -1.689813462786434e+00  1.801009778518473e-01
  -2.036810005824275e+01  1.060893747195248e+00 -1.690773760892587e+00  1.800726517707844e-01
  -2.036810005824275e+01  1.060893747195248e+00 -1.690773760892587e+00  1.800726517707844e-01
  -2.484214797122787e+01  1.083292904541401e+00 -1.802810500333651e+00  1.775617680878671e-01
  -2.336251642845427e+01  1.069958087586454e+00 -1.815779762415043e+00  1.796874437755751e-01
  -2.336251642845427e+01  1.069958087586454e+00 -1.815779762415043e+00  1.796874437755751e-01
  -2.336251642845427e+01  1.069958087586454e+00 -1.815779762415043e+00  1.796874437755751e-01
  -2.336251642845427e+01  1.069958087586454e+00 -1.815779762415043e+00  1.796874437755751e-01
  -2.110007216067173e+01  1.044051212245525e+00 -1.703543959111891e+00  1.828234322238799e-01
  -2.110007216067173e+01  1.044051212245525e+00 -1.703543959111891e+00  1.828234322238799e-01
  -1.917511921811083e+01  1.059515333363666e+00 -1.763715960462109e+00  1.806715802644576e-01
  -1.874790477677028e+01  1.056349441693756e+00 -1.758780342770532e+00  1.810983271403874e-01
  -1.874790477677028e+01  1.056349441693756e+00 -1.758780342770532e+00  1.810983271403874e-01
  -1.875582659687808e+01  1.056306369128492e+00 -1.758862671706150e+00  1.811059691354391e-01
  -1.875582659687808e+01  1.056306369128492e+00 -1.758862671706150e+00  1.811059691354391e-01
  -1.882868944441917e+01  1.052642499304838e+00 -1.763518985063997e+00  1.817294843965557e-01
  -1.882868944441917e+01  1.052642499304838e+00 -1.763518985063997e+00  1.817294843965557e-01
  -1.882868944441917e+01  1.052642499304838e+00 -1.763518985063997e+00  1.817294843965557e-01
  -1.882868944441917e+01  1.052642499304838e+00 -1.763518985063997e+00  1.817294843965557e-01
  -1.882868944441917e+01  1.052642499304838e+00 -1.763518985063997e+00  1.817294843965557e-01
  -1.882868944441917e+01  1.052642499304838e+00 -1.763518985063997e+00  1.817294843965557e-01
  -1.882868944441917e+01  1.052642499304838e+00 -1.763518985063997e+00  1.817294843965557e-01
  -1.882868944441917e+01  1.052642499304838e+00 -1.763518985063997e+00  1.817294843965557e-01
  -1.882868944441917e+01  1.052642499304838e+00 -1.763518985063997e+00  1.817294843965557e-01
  -1.940903351919746e+01  1.055635333836094e+00 -1.713758898189802e+00  1.810007871355480e-01
  -1.940903351919746e+01  1.055635333836094e+00 -1.713758898189802e+00  1.810007871355480e-01
  -1.999115408347391e+01  1.044100768858645e+00 -1.741166494882941e+00  1.829645145492970e-01
  -1.999115408347391e+01  1.044100768858645e+00 -1.741166494882941e+00  1.829645145492970e-01
  -1.999115408347391e+01  1.044100768858645e+00 -1.741166494882941e+00  1.829645145492970e-01
  -2.045418227950370e+01  1.042865925728754e+00 -1.748309098590080e+00  1.831821138952031e-01
  -2.045418227950370e+01  1.042865925728754e+00 -1.748309098590080e+00  1.831821138952031e-01
  -2.045418227950370e+01  1.042865925728754e+00 -1.748309098590080e+00  1.831821138952031e-01
  -2.045418227950370e+01  1.042865925728754e+00 -1.748309098590080e+00  1.831821138952031e-01
  -2.045418227950370e+01  1.042865925728754e+00 -1.748309098590080e+00  1.831821138952031e-01
  -2.023330527950223e+01  1.066156951691595e+00 -1.783275334467701e+00  1.798906039479918e-01
  -2.037310901513261e+01  1.045380674347350e+00 -1.729056051556617e+00  1.827177184382384e-01
  -2.037310901513261e+01  1.045380674347350e+00 -1.729056051556617e+00  1.827177184382384e-01
  -2.037310901513261e+01  1.045380674347350e+00 -1.729056051556617e+00  1.827177184382384e-01
  -2.037310901513261e+01  1.045380674347350e+00 -1.729056051556617e+00  1.827177184382384e-01
  -2.002485782699518e+01  1.048637374587043e+00 -1.715750706470033e+00  1.821315664337332e-01
  -2.002485782699518e+01  1.048637374587043e+00 -1.715750706470033e+00  1.821315664337332e-01
  -2.210709784430472e+01  1.057403756736521e+00 -1.773145440965463e+00  1.811174429399649e-01
  -2.210709784430472e+01  1.057403756736521e+00 -1.773145440965463e+00  1.811174429399649e-01
  -1.883960367206936e+01  1.056701753203255e+00 -1.752362520701372e+00  1.810113756584060e-01
  -2.312596475789464e+01  1.067922463944971e+00 -1.809169950171343e+00  1.799229535186076e-01
  -2.312596475789464e+01  1.067922463944971e+00 -1.809169950171343e+00  1.799229535186076e-01
  -2.312596475789464e+01  1.067922463944971e+00 -1.809169950171343e+00  1.799229535186076e-01
  -2.175465127735924e+01  1.070279334051041e+00 -1.802541577424848e+00  1.794829627859718e-01
  -1.891074950764565e+01  1.054581467031884e+00 -1.767630902473779e+00  1.814810040585496e-01
  -1.891074950764565e+01  1.054581467031884e+00 -1.767630902473779e+00  1.814810040585496e-01
  -1.891074950764565e+01  1.054581467031884e+00 -1.767630902473779e+00  1.814810040585496e-01
  -2.007966322136760e+01  1.064268568507055e+00 -1.786237446628672e+00  1.802172722849996e-01
  -2.055454276514173e+01  1.042874420634577e+00 -1.748328114681347e+00  1.831809727238726e-01
  -2.055454276514173e+01  1.042874420634577e+00 -1.748328114681347e+00  1.831809727238726e-01
  -2.055454276514173e+01  1.042874420634577e+00 -1.748328114681347e+00  1.831809727238726e-01
  -1.953170874679044e+01  1.063535805672814e+00 -1.768821452796784e+00  1.801162797239885e-01
  -1.930569022379191e+01  1.061467686269776e+00 -1.766310296619353e+00  1.804046438801536e-01
  -1.930569022379191e+01  1.061467686269776e+00 -1.766310296619353e+00  1.804046438801536e-01
  -1.964503335965922e+01  1.062513343260693e+00 -1.766465889106904e+00  1.802458115116038e-01
  -1.964503335965922e+01  1.062513343260693e+00 -1.766465889106904e+00  1.802458115116038e-01
  -1.964503335965922e+01  1.062513343260693e+00 -1.766465889106904e+00  1.802458115116038e-01
  -1.964503335965922e+01  1.062513343260693e+00 -1.766465889106904e+00  1.802458115116038e-01
  -2.354756803870627e+01  1.075549706582033e+00 -1.794011257728704e+00  1.786053319375233e-01
  -2.279793959297371e+01  1.067585265960034e+00 -1.812231021671437e+00  1.800143531514066e-01
  -2.281316378637069e+01  1.072029505057599e+00 -1.732072143781278e+00  1.786001775170043e-01
  -2.281316378637069e+01  1.072029505057599e+00 -1.732072143781278e+00  1.786001775170043e-01
  -1.904788180512582e+01  1.060142491088041e+00 -1.739248324655827e+00  1.804366833069731e-01
  -1.871777991312443e+01  1.052776588584037e+00 -1.756068432202411e+00  1.816261353732665e-01
  -1.871777991312443e+01  1.052776588584037e+00 -1.756068432202411e+00  1.816261353732665e-01
  -1.871777991312443e+01  1.052776588584037e+00 -1.756068432202411e+00  1.816261353732665e-01
  -1.873051113214272e+01  1.052675703274408e+00 -1.756171485873704e+00  1.816419763882961e-01
  -1.873051113214272e+01  1.052675703274408e+00 -1.756171485873704e+00  1.816419763882961e-01
  -1.873051113214272e+01  1.052675703274408e+00 -1.756171485873704e+00  1.816419763882961e-01
  -1.873051113214272e+01  1.052675703274408e+00 -1.756171485873704e+00  1.816419763882961e-01
  -1.863883694306843e+01  1.049724775020962e+00 -1.756235644993116e+00  1.820974162761528e-01
  -1.863883694306843e+01  1.049724775020962e+00 -1.756235644993116e+00  1.820974162761528e-01
  -1.863883694306843e+01  1.049724775020962e+00 -1.756235644993116e+00  1.820974162761528e-01
  -1.863883694306843e+01  1.049724775020962e+00 -1.756235644993116e+00  1.820974162761528e-01
  -1.863883694306843e+01  1.049724775020962e+00 -1.756235644993116e+00  1.820974162761528e-01
  -1.863883694306843e+01  1.049724775020962e+00 -1.756235644993116e+00  1.820974162761528e-01
  -1.863883694306843e+01  1.049724775020962e+00 -1.756235644993116e+00  1.820974162761528e-01
  -1.863883694306843e+01  1.049724775020962e+00 -1.756235644993116e+00  1.820974162761528e-01
  -1.863883694306843e+01  1.049724775020962e+00 -1.756235644993116e+00  1.820974162761528e-01
  -2.209781362061311e+01  1.071768015670333e+00 -1.780303901896341e+00  1.790003307375560e-01
  -1.953830765318180e+01  1.046295461694381e+00 -1.726031208869180e+00  1.825597630347909e-01
  -1.953830765318180e+01  1.046295461694381e+00 -1.726031208869180e+00  1.825597630347909e-01
  -1.953830765318180e+01  1.046295461694381e+00 -1.726031208869180e+00  1.825597630347909e-01
  -1.953830765318180e+01  1.046295461694381e+00 -1.726031208869180e+00  1.825597630347909e-01
  -1.953830765318180e+01  1.046295461694381e+00 -1.726031208869180e+00  1.825597630347909e-01
  -1.953136070180415e+01  1.046267538783077e+00 -1.725962479652807e+00  1.825637178520254e-01
  -1.953136070180415e+01  1.046267538783077e+00 -1.725962479652807e+00  1.825637178520254e-01
  -1.953136070180415e+01  1.046267538783077e+00 -1.725962479652807e+00  1.825637178520254e-01
  -1.953136070180415e+01  1.046267538783077e+00 -1.725962479652807e+00  1.825637178520254e-01
  -1.943940238981126e+01  1.046631749479235e+00 -1.725557903763497e+00  1.825028772027809e-01
  -1.943940238981126e+01  1.046631749479235e+00 -1.725557903763497e+00  1.825028772027809e-01
  -1.943940238981126e+01  1.046631749479235e+00 -1.725557903763497e+00  1.825028772027809e-01
  -1.992791835585643e+01  1.059047139738657e+00 -1.772219888067694e+00  1.808516305544140e-01
  -1.992791835585643e+01  1.059047139738657e+00 -1.772219888067694e+00  1.808516305544140e-01
  -1.873833255055974e+01  1.055917244315941e+00 -1.725768585815366e+00  1.810245952351946e-01
  -1.873833255055974e+01  1.055917244315941e+00 -1.725768585815366e+00  1.810245952351946e-01
  -1.873833255055974e+01  1.055917244315941e+00 -1.725768585815366e+00  1.810245952351946e-01
  -1.873833255055974e+01  1.055917244315941e+00 -1.725768585815366e+00  1.810245952351946e-01
  -1.873833255055974e+01  1.055917244315941e+00 -1.725768585815366e+00  1.810245952351946e-01
  -1.873833255055974e+01  1.055917244315941e+00 -1.725768585815366e+00  1.810245952351946e-01
  -2.312361275308273e+01  1.070270923688193e+00 -1.694945938299947e+00  1.786857620176191e-01
  -2.429472267671960e+01  1.071686060742682e+00 -1.809404570616626e+00  1.793585789358279e-01
  -2.086288514502891e+01  1.064094702748378e+00 -1.699402714317580e+00  1.796429424109222e-01
  -2.086288514502891e+01  1.064094702748378e+00 -1.699402714317580e+00  1.796429424109222e-01
  -2.086288514502891e+01  1.064094702748378e+00 -1.699402714317580e+00  1.796429424109222e-01
  -2.086288514502891e+01  1.064094702748378e+00 -1.699402714317580e+00  1.796429424109222e-01
  -2.086288514502891e+01  1.064094702748378e+00 -1.699402714317580e+00  1.796429424109222e-01
  -2.086288514502891e+01  1.064094702748378e+00 -1.699402714317580e+00  1.796429424109222e-01
  -2.086288514502891e+01  1.064094702748378e+00 -1.699402714317580e+00  1.796429424109222e-01
  -1.964747000496121e+01  1.061925224678611e+00 -1.775838946985760e+00  1.804523041779054e-01
  -1.979059973811036e+01  1.047424399627767e+00 -1.763674633965365e+00  1.825518493446445e-01
  -2.145053395529059e+01  1.072353479463560e+00 -1.784759384311472e+00  1.789653847360514e-01
  -2.145053395529059e+01  1.072353479463560e+00 -1.784759384311472e+00  1.789653847360514e-01
  -2.145053395529059e+01  1.072353479463560e+00 -1.784759384311472e+00  1.789653847360514e-01
  -1.923749202161179e+01  1.049674310379094e+00 -1.726040273340404e+00  1.820093162431150e-01
  -1.923749202161179e+01  1.049674310379094e+00 -1.726040273340404e+00  1.820093162431150e-01
  -1.923749202161179e+01  1.049674310379094e+00 -1.726040273340404e+00  1.820093162431150e-01
  -1.923749202161179e+01  1.049674310379094e+00 -1.726040273340404e+00  1.820093162431150e-01
  -2.107348160014944e+01  1.060751470417354e+00 -1.788493657954371e+00  1.807829964746382e-01
  -2.103169155844184e+01  1.060180470391614e+00 -1.790771106771954e+00  1.808981788566137e-01
  -2.155166513002035e+01  1.061680608949858e+00 -1.795401375353626e+00  1.807229391074794e-01
  -2.155166513002035e+01  1.061680608949858e+00 -1.795401375353626e+00  1.807229391074794e-01
  -2.152757873188912e+01  1.061511251391792e+00 -1.795370819546063e+00  1.807485833591250e-01
  -1.923914172151559e+01  1.057081386564105e+00 -1.762319951167265e+00  1.810288532983122e-01
  -1.842187929771760e+01  1.052530799399098e+00 -1.755977683416297e+00  1.816626867357819e-01
  -1.842187929771760e+01  1.052530799399098e+00 -1.755977683416297e+00  1.816626867357819e-01
  -1.842187929771760e+01  1.052530799399098e+00 -1.755977683416297e+00  1.816626867357819e-01
  -1.919725832177482e+01  1.059528167060681e+00 -1.746143789618301e+00  1.805576216979811e-01
  -1.919725832177482e+01  1.059528167060681e+00 -1.746143789618301e+00  1.805576216979811e-01
  -1.879425929831278e+01  1.057529811767943e+00 -1.750556790001704e+00  1.808770300465427e-01
  -1.879425929831278e+01  1.057529811767943e+00 -1.750556790001704e+00  1.808770300465427e-01
  -1.879425929831278e+01  1.057529811767943e+00 -1.750556790001704e+00  1.808770300465427e-01
  -1.966006304553001e+01  1.062049548991845e+00 -1.774442845384446e+00  1.804161221787081e-01
  -1.966006304553001e+01  1.062049548991845e+00 -1.774442845384446e+00  1.804161221787081e-01
  -1.966006304553001e+01  1.062049548991845e+00 -1.774442845384446e+00  1.804161221787081e-01
  -2.302169526592255e+01  1.031714972005245e+00 -1.604231137737591e+00  1.839252453527243e-01
  -2.023019048892345e+01  1.058262944909008e+00 -1.756593718495490e+00  1.807779851849595e-01
  -2.023019048892345e+01  1.058262944909008e+00 -1.756593718495490e+00  1.807779851849595e-01
  -2.023019048892345e+01  1.058262944909008e+00 -1.756593718495490e+00  1.807779851849595e-01
  -2.023019048892345e+01  1.058262944909008e+00 -1.756593718495490e+00  1.807779851849595e-01
  -2.063624703359071e+01  1.066559015179697e+00 -1.739352427072628e+00  1.794540730684399e-01
  -2.063624703359071e+01  1.066559015179697e+00 -1.739352427072628e+00  1.794540730684399e-01
  -2.080251644971015e+01  1.064907378572273e+00 -1.790562105888054e+00  1.801704372760772e-01
  -2.080251644971015e+01  1.064907378572273e+00 -1.790562105888054e+00  1.801704372760772e-01
  -2.111743793845257e+01  1.060094204151388e+00 -1.667060358840667e+00  1.800300782187601e-01
  -2.192284167095497e+01  1.068691384234540e+00 -1.739809521434737e+00  1.791268679575000e-01
  -2.189361472111088e+01  1.033328031069984e+00 -1.648819228135076e+00  1.841322880088669e-01
  -2.020083484333581e+01  1.046977850338657e+00 -1.764157216888176e+00  1.826297539784580e-01
  -2.253344907431737e+01  1.061981539540118e+00 -1.801894561211050e+00  1.807569109920330e-01
  -2.037454073656977e+01  1.058497596423667e+00 -1.784625284280279e+00  1.810832837178829e-01
  -2.037454073656977e+01  1.058497596423667e+00 -1.784625284280279e+00  1.810832837178829e-01
  -2.316416023458161e+01  1.045803010258147e+00 -1.714184950601023e+00  1.825930410550774e-01
