# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Mass of He core, $M_{He-core}/M_{\odot}$ $A_3^{\mathrm{surf}}$  $A_{-1}^{\mathrm{surf}}$
  -2.516179587433144e+02  1.400562452477357e+00 -1.953687448483252e+00  3.464779217358451e+32  5.125088641618082e-11 -4.563731057871446e-06
  -2.516179587433144e+02  1.400562452477357e+00 -1.953687448483252e+00  3.464779217358451e+32  5.125088641618082e-11 -4.563731057871446e-06
  -2.503942241005315e+02  1.410861710529354e+00 -2.043419882932611e+00  3.464779217358451e+32  5.752555089256217e-11 -4.929779355307276e-06
  -2.511948910627805e+02  1.409158195413065e+00 -2.030707105030245e+00  3.464779217358451e+32  6.402605190423503e-11 -5.109881366040122e-06
  -2.490033142285832e+02  1.411342259362932e+00 -2.044550266858824e+00  3.464779217358451e+32  5.343135977682078e-11 -4.701271093024585e-06
  -2.490033142285832e+02  1.411342259362932e+00 -2.044550266858824e+00  3.464779217358451e+32  5.343135977682078e-11 -4.701271093024585e-06
  -2.490033142285832e+02  1.411342259362932e+00 -2.044550266858824e+00  3.464779217358451e+32  5.343135977682078e-11 -4.701271093024585e-06
  -2.490033142285832e+02  1.411342259362932e+00 -2.044550266858824e+00  3.464779217358451e+32  5.343135977682078e-11 -4.701271093024585e-06
  -2.490389287404311e+02  1.411339550438578e+00 -2.044463413780919e+00  3.464779217358451e+32  5.329341539052380e-11 -4.695813817071787e-06
  -2.490550982336183e+02  1.411354005588465e+00 -2.044562809991971e+00  3.464779217358451e+32  5.324694299439066e-11 -4.693920665221447e-06
  -2.491789810934674e+02  1.411401014241262e+00 -2.044886217647492e+00  3.464779217358451e+32  5.290913672865452e-11 -4.685746863192944e-06
  -2.489921791507807e+02  1.411278958033037e+00 -2.044075657647382e+00  3.464779217358451e+32  5.348312204719523e-11 -4.704732462202807e-06
  -2.489301757635172e+02  1.411169531773883e+00 -2.043298509533906e+00  3.464779217358451e+32  5.373320082894000e-11 -4.715255893191816e-06
  -2.484891028091514e+02  1.410998199890754e+00 -2.043044271797693e+00  3.464779217358451e+32  5.650004980563748e-11 -4.820542238588132e-06
  -2.484891028091514e+02  1.410998199890754e+00 -2.043044271797693e+00  3.464779217358451e+32  5.650004980563748e-11 -4.820542238588132e-06
  -2.512598498112510e+02  1.405767414736590e+00 -2.001659473171420e+00  3.464779217358451e+32  5.884438977291941e-11 -4.951274320745195e-06
  -2.537637130257728e+02  1.404961632114371e+00 -1.991768575832875e+00  3.464779217358451e+32  5.914606128224743e-11 -4.865510615473839e-06
  -2.538704234564514e+02  1.409766560200135e+00 -2.027849384382804e+00  3.464779217358451e+32  5.017640179677617e-11 -4.568689292271014e-06
  -2.510414096221965e+02  1.411538486137537e+00 -2.042730317597894e+00  3.464779217358451e+32  4.929172103105877e-11 -4.469403688324671e-06
  -2.510414096221965e+02  1.411538486137537e+00 -2.042730317597894e+00  3.464779217358451e+32  4.929172103105877e-11 -4.469403688324671e-06
  -2.510414096221965e+02  1.411538486137537e+00 -2.042730317597894e+00  3.464779217358451e+32  4.929172103105877e-11 -4.469403688324671e-06
  -2.496834307505609e+02  1.406975151112738e+00 -2.008043860903260e+00  3.464779217358451e+32  5.547011120669220e-11 -4.709138922744009e-06
  -2.498878652802280e+02  1.406526280456967e+00 -2.004542729273346e+00  3.464779217358451e+32  5.603557917275702e-11 -4.726765795200056e-06
  -2.525556287575461e+02  1.402796514164936e+00 -1.976646462743631e+00  3.464779217358451e+32  6.179071953177240e-11 -4.946494974415377e-06
  -2.522259894690218e+02  1.402976099443368e+00 -1.977747186147780e+00  3.464779217358451e+32  6.122203120396758e-11 -4.923148270531862e-06
  -2.524123752875585e+02  1.402922674616834e+00 -1.977458877630684e+00  3.464779217358451e+32  6.156513901366281e-11 -4.935995007180776e-06
  -2.512228707572681e+02  1.408186678306482e+00 -2.020057117988171e+00  3.464779217358451e+32  5.424687119304765e-11 -4.797390873562706e-06
  -2.519334331702277e+02  1.400119975723252e+00 -1.951633181208338e+00  3.464779217358451e+32  5.385079619902435e-11 -4.653141955903052e-06
  -2.513266066354270e+02  1.401904640976702e+00 -1.964534245183511e+00  3.464779217358451e+32  5.219832075405656e-11 -4.567359350953688e-06
  -2.519771615485526e+02  1.400924776305955e+00 -1.955828698328177e+00  3.464779217358451e+32  5.132087061356360e-11 -4.520800295223604e-06
  -2.536518044598810e+02  1.410021083212670e+00 -2.038005270741448e+00  3.464779217358451e+32  6.455499761092552e-11 -5.161840527310326e-06
  -2.523339235492745e+02  1.400612087546297e+00 -1.953571520374276e+00  3.464779217358451e+32  5.239578718133264e-11 -4.549588217302696e-06
  -2.495336052173068e+02  1.410119176874143e+00 -2.038676184880660e+00  3.464779217358451e+32  6.196326371491134e-11 -5.040375781352598e-06
  -2.525925767945285e+02  1.409842814912798e+00 -2.035968886568540e+00  3.464779217358451e+32  6.362859788978835e-11 -5.114455680803986e-06
  -2.523362784227662e+02  1.409877289508655e+00 -2.036220721731472e+00  3.464779217358451e+32  6.346499141550382e-11 -5.108118316437034e-06
  -2.523362784227662e+02  1.409877289508655e+00 -2.036220721731472e+00  3.464779217358451e+32  6.346499141550382e-11 -5.108118316437034e-06
  -2.513924001285845e+02  1.409636358115026e+00 -2.034005664716875e+00  3.464779217358451e+32  6.322212097731091e-11 -5.082499103377186e-06
  -2.525135989522055e+02  1.410266733834146e+00 -2.039996766205055e+00  3.464779217358451e+32  6.401530759973876e-11 -5.141808562808892e-06
  -2.516216509375507e+02  1.410187664466485e+00 -2.039060223942760e+00  3.464779217358451e+32  6.377298445605549e-11 -5.116885256439923e-06
  -2.515328550296929e+02  1.410183479589683e+00 -2.039043797465503e+00  3.464779217358451e+32  6.376326515637175e-11 -5.116189808825731e-06
  -2.526018262243163e+02  1.408787158739062e+00 -2.021924022067292e+00  3.464779217358451e+32  5.465452047068892e-11 -4.624727985808637e-06
  -2.526018262243163e+02  1.408787158739062e+00 -2.021924022067292e+00  3.464779217358451e+32  5.465452047068892e-11 -4.624727985808637e-06
  -2.526018262243163e+02  1.408787158739062e+00 -2.021924022067292e+00  3.464779217358451e+32  5.465452047068892e-11 -4.624727985808637e-06
  -2.507637253745362e+02  1.408255382173826e+00 -2.021286729494000e+00  3.464779217358451e+32  5.849326004495105e-11 -4.848998906717178e-06
  -2.493127215886921e+02  1.408964928349815e+00 -2.026310653961948e+00  3.464779217358451e+32  5.803306057495502e-11 -4.831817525560410e-06
  -2.492986695516156e+02  1.408978704963298e+00 -2.026382557379279e+00  3.464779217358451e+32  5.796904010435547e-11 -4.829094568361157e-06
  -2.500961534274715e+02  1.407418462977475e+00 -2.015028562226254e+00  3.464779217358451e+32  6.030769937450574e-11 -4.930276125628561e-06
  -2.520631476941306e+02  1.410176622094681e+00 -2.041574032062520e+00  3.464779217358451e+32  6.682257598315869e-11 -5.224954142650929e-06
  -2.494361568106255e+02  1.409720814353657e+00 -2.033728220517463e+00  3.464779217358451e+32  6.081049694392027e-11 -4.947098594385150e-06
  -2.494361568106255e+02  1.409720814353657e+00 -2.033728220517463e+00  3.464779217358451e+32  6.081049694392027e-11 -4.947098594385150e-06
  -2.494361568106255e+02  1.409720814353657e+00 -2.033728220517463e+00  3.464779217358451e+32  6.081049694392027e-11 -4.947098594385150e-06
  -2.500067096793789e+02  1.411002971832959e+00 -2.045410441741506e+00  3.464779217358451e+32  5.852988623557389e-11 -4.966467446157594e-06
  -2.500067096793789e+02  1.411002971832959e+00 -2.045410441741506e+00  3.464779217358451e+32  5.852988623557389e-11 -4.966467446157594e-06
