# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Mass of He core, $M_{He-core}/M_{\odot}$ $A_3^{\mathrm{surf}}$  $A_{-1}^{\mathrm{surf}}$
  -2.505255088563677e+02  1.403510249967592e+00 -1.980445600336268e+00  3.464779217358451e+32  5.454724167433589e-11 -4.739409851317455e-06
  -2.527732330205688e+02  1.410454599673661e+00 -2.037562058614504e+00  3.464779217358451e+32  5.907854671548810e-11 -4.796949861328026e-06
  -2.527732330205688e+02  1.410454599673661e+00 -2.037562058614504e+00  3.464779217358451e+32  5.907854671548810e-11 -4.796949861328026e-06
  -2.515870735248884e+02  1.409562314759428e+00 -2.029428854949874e+00  3.464779217358451e+32  5.465517782241118e-11 -4.664586124073098e-06
  -2.515870735248884e+02  1.409562314759428e+00 -2.029428854949874e+00  3.464779217358451e+32  5.465517782241118e-11 -4.664586124073098e-06
  -2.515870735248884e+02  1.409562314759428e+00 -2.029428854949874e+00  3.464779217358451e+32  5.465517782241118e-11 -4.664586124073098e-06
  -2.512318391552842e+02  1.402234630269488e+00 -1.967647076116160e+00  3.464779217358451e+32  5.387221185390144e-11 -4.621661929904324e-06
  -2.519331215437107e+02  1.401567746499580e+00 -1.962165338723931e+00  3.464779217358451e+32  5.411763218510580e-11 -4.617005025166058e-06
  -2.513262693760095e+02  1.401534831219913e+00 -1.961383409075893e+00  3.464779217358451e+32  5.224686502619656e-11 -4.569620852051484e-06
  -2.512418166660390e+02  1.411723254111433e+00 -2.043412768536289e+00  3.464779217358451e+32  4.801649420020725e-11 -4.420600028744668e-06
  -2.497975209632441e+02  1.409849669107198e+00 -2.035989602369590e+00  3.464779217358451e+32  6.011038901770085e-11 -5.004636615365412e-06
  -2.502101616643818e+02  1.409796951559198e+00 -2.036184393107200e+00  3.464779217358451e+32  6.094226118643632e-11 -5.045274745627324e-06
  -2.502101616643818e+02  1.409796951559198e+00 -2.036184393107200e+00  3.464779217358451e+32  6.094226118643632e-11 -5.045274745627324e-06
  -2.502101616643818e+02  1.409796951559198e+00 -2.036184393107200e+00  3.464779217358451e+32  6.094226118643632e-11 -5.045274745627324e-06
  -2.498943728661439e+02  1.409933744486413e+00 -2.036837179204912e+00  3.464779217358451e+32  6.044169531844922e-11 -5.018856003037478e-06
  -2.498943728661439e+02  1.409933744486413e+00 -2.036837179204912e+00  3.464779217358451e+32  6.044169531844922e-11 -5.018856003037478e-06
  -2.491889951535486e+02  1.409469503613725e+00 -2.032145055044861e+00  3.464779217358451e+32  5.968511620400376e-11 -4.960831649861281e-06
  -2.489927184789069e+02  1.410615437892069e+00 -2.041612857992537e+00  3.464779217358451e+32  5.996195239480957e-11 -4.972426652871313e-06
  -2.489927184789069e+02  1.410615437892069e+00 -2.041612857992537e+00  3.464779217358451e+32  5.996195239480957e-11 -4.972426652871313e-06
  -2.489927184789069e+02  1.410615437892069e+00 -2.041612857992537e+00  3.464779217358451e+32  5.996195239480957e-11 -4.972426652871313e-06
  -2.489927184789069e+02  1.410615437892069e+00 -2.041612857992537e+00  3.464779217358451e+32  5.996195239480957e-11 -4.972426652871313e-06
  -2.487204482085791e+02  1.410669221879890e+00 -2.041451246511816e+00  3.464779217358451e+32  5.915852183794098e-11 -4.931327772308406e-06
  -2.487204482085791e+02  1.410669221879890e+00 -2.041451246511816e+00  3.464779217358451e+32  5.915852183794098e-11 -4.931327772308406e-06
  -2.493208617925529e+02  1.408665499133938e+00 -2.025604410982735e+00  3.464779217358451e+32  6.029267863044872e-11 -4.962712845687941e-06
  -2.493208617925529e+02  1.408665499133938e+00 -2.025604410982735e+00  3.464779217358451e+32  6.029267863044872e-11 -4.962712845687941e-06
  -2.493208617925529e+02  1.408665499133938e+00 -2.025604410982735e+00  3.464779217358451e+32  6.029267863044872e-11 -4.962712845687941e-06
  -2.496132541301396e+02  1.408435648074761e+00 -2.024158221627114e+00  3.464779217358451e+32  6.094215609449024e-11 -4.988338134289214e-06
  -2.490033142285833e+02  1.411342259362932e+00 -2.044550266858824e+00  3.464779217358451e+32  5.343135977682078e-11 -4.701271093024585e-06
  -2.490033142285833e+02  1.411342259362932e+00 -2.044550266858824e+00  3.464779217358451e+32  5.343135977682078e-11 -4.701271093024585e-06
  -2.490033142285833e+02  1.411342259362932e+00 -2.044550266858824e+00  3.464779217358451e+32  5.343135977682078e-11 -4.701271093024585e-06
  -2.493171559587719e+02  1.408786681205320e+00 -2.026013945610002e+00  3.464779217358451e+32  5.829158582039007e-11 -4.912369835500854e-06
  -2.493171559587719e+02  1.408786681205320e+00 -2.026013945610002e+00  3.464779217358451e+32  5.829158582039007e-11 -4.912369835500854e-06
  -2.493171559587719e+02  1.408786681205320e+00 -2.026013945610002e+00  3.464779217358451e+32  5.829158582039007e-11 -4.912369835500854e-06
  -2.492617119786752e+02  1.408792640430785e+00 -2.026025385031171e+00  3.464779217358451e+32  5.828157600355959e-11 -4.909785488138173e-06
  -2.505565540049525e+02  1.408002570639834e+00 -2.021163985873788e+00  3.464779217358451e+32  6.165723314577599e-11 -5.048716731805292e-06
  -2.505565540049525e+02  1.408002570639834e+00 -2.021163985873788e+00  3.464779217358451e+32  6.165723314577599e-11 -5.048716731805292e-06
  -2.504599888968540e+02  1.408684630944053e+00 -2.023056025833475e+00  3.464779217358451e+32  5.968889287560181e-11 -4.865109940386728e-06
  -2.504599888968540e+02  1.408684630944053e+00 -2.023056025833475e+00  3.464779217358451e+32  5.968889287560181e-11 -4.865109940386728e-06
  -2.497215553617410e+02  1.408883173528125e+00 -2.025011345323763e+00  3.464779217358451e+32  5.923998431559515e-11 -4.866841981359560e-06
  -2.498048523143782e+02  1.408723621746451e+00 -2.023659604051202e+00  3.464779217358451e+32  5.917610966617565e-11 -4.868743950461025e-06
  -2.515524076126426e+02  1.409466266631370e+00 -2.025263310269219e+00  3.464779217358451e+32  5.189411046204674e-11 -4.577150766295106e-06
  -2.516861374131242e+02  1.409459582687712e+00 -2.025249260431828e+00  3.464779217358451e+32  5.201407419871293e-11 -4.583218606106468e-06
  -2.516861374131242e+02  1.409459582687712e+00 -2.025249260431828e+00  3.464779217358451e+32  5.201407419871293e-11 -4.583218606106468e-06
  -2.506763934788600e+02  1.409602842437852e+00 -2.027022022521404e+00  3.464779217358451e+32  5.303119710406654e-11 -4.613991031756028e-06
  -2.497483252745477e+02  1.409594846012124e+00 -2.027496909253188e+00  3.464779217358451e+32  5.335162111310528e-11 -4.623973836437629e-06
  -2.497483252745477e+02  1.409594846012124e+00 -2.027496909253188e+00  3.464779217358451e+32  5.335162111310528e-11 -4.623973836437629e-06
  -2.497483252745477e+02  1.409594846012124e+00 -2.027496909253188e+00  3.464779217358451e+32  5.335162111310528e-11 -4.623973836437629e-06
  -2.497483252745477e+02  1.409594846012124e+00 -2.027496909253188e+00  3.464779217358451e+32  5.335162111310528e-11 -4.623973836437629e-06
  -2.497483252745477e+02  1.409594846012124e+00 -2.027496909253188e+00  3.464779217358451e+32  5.335162111310528e-11 -4.623973836437629e-06
  -2.489617640340719e+02  1.409640944815036e+00 -2.030090845491264e+00  3.464779217358451e+32  5.645461848909453e-11 -4.763967674043275e-06
  -2.489617640340719e+02  1.409640944815036e+00 -2.030090845491264e+00  3.464779217358451e+32  5.645461848909453e-11 -4.763967674043275e-06
  -2.488402838467370e+02  1.410643082324304e+00 -2.039435285528878e+00  3.464779217358451e+32  5.835410476689097e-11 -4.844322332181539e-06
  -2.484949728048958e+02  1.410984689167159e+00 -2.041131179936557e+00  3.464779217358451e+32  5.531093874356690e-11 -4.733694520294748e-06
  -2.484949728048958e+02  1.410984689167159e+00 -2.041131179936557e+00  3.464779217358451e+32  5.531093874356690e-11 -4.733694520294748e-06
  -2.484949728048958e+02  1.410984689167159e+00 -2.041131179936557e+00  3.464779217358451e+32  5.531093874356690e-11 -4.733694520294748e-06
  -2.485034122117160e+02  1.410932123011301e+00 -2.040661274573092e+00  3.464779217358451e+32  5.523127860121439e-11 -4.730432624186588e-06
  -2.485034122117160e+02  1.410932123011301e+00 -2.040661274573092e+00  3.464779217358451e+32  5.523127860121439e-11 -4.730432624186588e-06
  -2.485034122117160e+02  1.410932123011301e+00 -2.040661274573092e+00  3.464779217358451e+32  5.523127860121439e-11 -4.730432624186588e-06
  -2.485034122117160e+02  1.410932123011301e+00 -2.040661274573092e+00  3.464779217358451e+32  5.523127860121439e-11 -4.730432624186588e-06
  -2.485034122117160e+02  1.410932123011301e+00 -2.040661274573092e+00  3.464779217358451e+32  5.523127860121439e-11 -4.730432624186588e-06
  -2.485034122117160e+02  1.410932123011301e+00 -2.040661274573092e+00  3.464779217358451e+32  5.523127860121439e-11 -4.730432624186588e-06
  -2.485034122117160e+02  1.410932123011301e+00 -2.040661274573092e+00  3.464779217358451e+32  5.523127860121439e-11 -4.730432624186588e-06
  -2.484979193049443e+02  1.410946391641969e+00 -2.040929744250920e+00  3.464779217358451e+32  5.543709122411903e-11 -4.738155282045428e-06
  -2.484979193049443e+02  1.410946391641969e+00 -2.040929744250920e+00  3.464779217358451e+32  5.543709122411903e-11 -4.738155282045428e-06
  -2.485901959095414e+02  1.410197306557344e+00 -2.034514154554778e+00  3.464779217358451e+32  5.499244786588938e-11 -4.719441593462015e-06
  -2.485901959095414e+02  1.410197306557344e+00 -2.034514154554778e+00  3.464779217358451e+32  5.499244786588938e-11 -4.719441593462015e-06
  -2.485901959095414e+02  1.410197306557344e+00 -2.034514154554778e+00  3.464779217358451e+32  5.499244786588938e-11 -4.719441593462015e-06
  -2.510968417007950e+02  1.408941514249783e+00 -2.022837588187501e+00  3.464779217358451e+32  5.261372670045028e-11 -4.578129953711165e-06
  -2.510968417007950e+02  1.408941514249783e+00 -2.022837588187501e+00  3.464779217358451e+32  5.261372670045028e-11 -4.578129953711165e-06
  -2.502287176923349e+02  1.408612017259723e+00 -2.019373740602479e+00  3.464779217358451e+32  5.144556905734555e-11 -4.543311567595005e-06
  -2.493385115105630e+02  1.409140546504736e+00 -2.024403306293485e+00  3.464779217358451e+32  5.306886303626946e-11 -4.616892512691323e-06
  -2.491997025747916e+02  1.409085101846257e+00 -2.024095784110402e+00  3.464779217358451e+32  5.327622147955210e-11 -4.630195088433950e-06
  -2.490394088310215e+02  1.409061213913152e+00 -2.024249328829839e+00  3.464779217358451e+32  5.367769065237667e-11 -4.652782572532464e-06
  -2.490363370632253e+02  1.409060620557927e+00 -2.024255754981082e+00  3.464779217358451e+32  5.369897569258881e-11 -4.653648310944972e-06
  -2.501202358670595e+02  1.408306428796915e+00 -2.022165697383142e+00  3.464779217358451e+32  5.658637172429887e-11 -4.845412448613619e-06
  -2.501202358670595e+02  1.408306428796915e+00 -2.022165697383142e+00  3.464779217358451e+32  5.658637172429887e-11 -4.845412448613619e-06
  -2.531087332519913e+02  1.403988717747665e+00 -1.983148272962054e+00  3.464779217358451e+32  5.247905702338013e-11 -4.692565206774457e-06
  -2.531087332519913e+02  1.403988717747665e+00 -1.983148272962054e+00  3.464779217358451e+32  5.247905702338013e-11 -4.692565206774457e-06
  -2.524609973648149e+02  1.403963183128109e+00 -1.981207799711963e+00  3.464779217358451e+32  4.910449038545158e-11 -4.538999737766863e-06
  -2.492561442013608e+02  1.409808015270428e+00 -2.034073718652681e+00  3.464779217358451e+32  6.019629741508276e-11 -4.921148658040658e-06
  -2.492561442013608e+02  1.409808015270428e+00 -2.034073718652681e+00  3.464779217358451e+32  6.019629741508276e-11 -4.921148658040658e-06
  -2.492598703082731e+02  1.409799674900955e+00 -2.034466027827199e+00  3.464779217358451e+32  6.078357269708208e-11 -4.954380473421099e-06
  -2.492598703082731e+02  1.409799674900955e+00 -2.034466027827199e+00  3.464779217358451e+32  6.078357269708208e-11 -4.954380473421099e-06
  -2.497515939048208e+02  1.410211035526870e+00 -2.038653321099326e+00  3.464779217358451e+32  6.259696132961561e-11 -5.030798122686121e-06
  -2.497515939048208e+02  1.410211035526870e+00 -2.038653321099326e+00  3.464779217358451e+32  6.259696132961561e-11 -5.030798122686121e-06
  -2.497515939048208e+02  1.410211035526870e+00 -2.038653321099326e+00  3.464779217358451e+32  6.259696132961561e-11 -5.030798122686121e-06
  -2.497515939048208e+02  1.410211035526870e+00 -2.038653321099326e+00  3.464779217358451e+32  6.259696132961561e-11 -5.030798122686121e-06
  -2.492641904126069e+02  1.410275597439866e+00 -2.038575401468291e+00  3.464779217358451e+32  6.132443330376768e-11 -4.981482057621011e-06
  -2.492641904126069e+02  1.410275597439866e+00 -2.038575401468291e+00  3.464779217358451e+32  6.132443330376768e-11 -4.981482057621011e-06
  -2.491730414789891e+02  1.410225680230112e+00 -2.037908067333356e+00  3.464779217358451e+32  6.094140870407870e-11 -4.964373941015544e-06
  -2.509760351021701e+02  1.410161745341334e+00 -2.039807022707156e+00  3.464779217358451e+32  6.514528572444514e-11 -5.136073478148345e-06
  -2.509760351021701e+02  1.410161745341334e+00 -2.039807022707156e+00  3.464779217358451e+32  6.514528572444514e-11 -5.136073478148345e-06
  -2.509760351021701e+02  1.410161745341334e+00 -2.039807022707156e+00  3.464779217358451e+32  6.514528572444514e-11 -5.136073478148345e-06
  -2.490697792575120e+02  1.410532129128187e+00 -2.040402988499260e+00  3.464779217358451e+32  6.071912374144845e-11 -4.954974067127729e-06
  -2.490130464693999e+02  1.410613034380999e+00 -2.040899819086977e+00  3.464779217358451e+32  6.048388171809281e-11 -4.943892704882698e-06
  -2.490130464693999e+02  1.410613034380999e+00 -2.040899819086977e+00  3.464779217358451e+32  6.048388171809281e-11 -4.943892704882698e-06
  -2.490130464693999e+02  1.410613034380999e+00 -2.040899819086977e+00  3.464779217358451e+32  6.048388171809281e-11 -4.943892704882698e-06
  -2.490130464693999e+02  1.410613034380999e+00 -2.040899819086977e+00  3.464779217358451e+32  6.048388171809281e-11 -4.943892704882698e-06
  -2.490130464693999e+02  1.410613034380999e+00 -2.040899819086977e+00  3.464779217358451e+32  6.048388171809281e-11 -4.943892704882698e-06
  -2.490130464693999e+02  1.410613034380999e+00 -2.040899819086977e+00  3.464779217358451e+32  6.048388171809281e-11 -4.943892704882698e-06
  -2.490291947303440e+02  1.410718640717735e+00 -2.041856445115092e+00  3.464779217358451e+32  6.061767005800170e-11 -4.950102720302522e-06
  -2.490291947303440e+02  1.410718640717735e+00 -2.041856445115092e+00  3.464779217358451e+32  6.061767005800170e-11 -4.950102720302522e-06
  -2.490291947303440e+02  1.410718640717735e+00 -2.041856445115092e+00  3.464779217358451e+32  6.061767005800170e-11 -4.950102720302522e-06
  -2.490291947303440e+02  1.410718640717735e+00 -2.041856445115092e+00  3.464779217358451e+32  6.061767005800170e-11 -4.950102720302522e-06
  -2.491008778777669e+02  1.410456624447944e+00 -2.039783797242031e+00  3.464779217358451e+32  6.072034337811475e-11 -4.953606891975646e-06
  -2.491008778777669e+02  1.410456624447944e+00 -2.039783797242031e+00  3.464779217358451e+32  6.072034337811475e-11 -4.953606891975646e-06
  -2.502159710092790e+02  1.411261270372152e+00 -2.043162861888285e+00  3.464779217358451e+32  5.825676809676532e-11 -4.797092255294280e-06
  -2.490497337400750e+02  1.409023598151608e+00 -2.024429468615197e+00  3.464779217358451e+32  5.468720298435734e-11 -4.711809366832236e-06
  -2.489880124161054e+02  1.409019190072297e+00 -2.024343981266005e+00  3.464779217358451e+32  5.457585291808391e-11 -4.704630499330374e-06
  -2.489880124161054e+02  1.409019190072297e+00 -2.024343981266005e+00  3.464779217358451e+32  5.457585291808391e-11 -4.704630499330374e-06
  -2.489864381015453e+02  1.408927034996815e+00 -2.023219070934642e+00  3.464779217358451e+32  5.386737844100575e-11 -4.668119323063739e-06
  -2.489864381015453e+02  1.408927034996815e+00 -2.023219070934642e+00  3.464779217358451e+32  5.386737844100575e-11 -4.668119323063739e-06
  -2.489864381015453e+02  1.408927034996815e+00 -2.023219070934642e+00  3.464779217358451e+32  5.386737844100575e-11 -4.668119323063739e-06
  -2.516294258678876e+02  1.409400289456049e+00 -2.023675351418084e+00  3.464779217358451e+32  5.010666518698115e-11 -4.447780429984970e-06
  -2.511655261928901e+02  1.408946527212021e+00 -2.020400428011353e+00  3.464779217358451e+32  5.059769212377624e-11 -4.475101392732930e-06
  -2.511655261928901e+02  1.408946527212021e+00 -2.020400428011353e+00  3.464779217358451e+32  5.059769212377624e-11 -4.475101392732930e-06
  -2.545455276747759e+02  1.404701835128929e+00 -1.995215642579645e+00  3.464779217358451e+32  6.518424949879760e-11 -5.100961559472555e-06
  -2.500613803103923e+02  1.409870540373262e+00 -2.030563582709421e+00  3.464779217358451e+32  5.363983885520115e-11 -4.679571523891515e-06
  -2.500613803103923e+02  1.409870540373262e+00 -2.030563582709421e+00  3.464779217358451e+32  5.363983885520115e-11 -4.679571523891515e-06
  -2.508733098538955e+02  1.410325910355828e+00 -2.035135791192807e+00  3.464779217358451e+32  5.777345462876101e-11 -4.797531076570734e-06
  -2.508733098538955e+02  1.410325910355828e+00 -2.035135791192807e+00  3.464779217358451e+32  5.777345462876101e-11 -4.797531076570734e-06
  -2.495119198204660e+02  1.407823025490587e+00 -2.014544917873756e+00  3.464779217358451e+32  5.551760071160949e-11 -4.731159179382460e-06
  -2.510980834084473e+02  1.406824954907903e+00 -2.005815264262396e+00  3.464779217358451e+32  5.416704959438980e-11 -4.706206911387536e-06
  -2.510980834084473e+02  1.406824954907903e+00 -2.005815264262396e+00  3.464779217358451e+32  5.416704959438980e-11 -4.706206911387536e-06
  -2.510980834084473e+02  1.406824954907903e+00 -2.005815264262396e+00  3.464779217358451e+32  5.416704959438980e-11 -4.706206911387536e-06
  -2.516796712149630e+02  1.406492687354334e+00 -2.002393658154893e+00  3.464779217358451e+32  5.303426220145700e-11 -4.660518483373080e-06
  -2.512046831262172e+02  1.405612267519989e+00 -1.995093076363758e+00  3.464779217358451e+32  5.202487374527057e-11 -4.625274229498523e-06
  -2.508988852193670e+02  1.405770253254430e+00 -1.996709646830767e+00  3.464779217358451e+32  5.257106493275557e-11 -4.646351478779630e-06
  -2.532135299703479e+02  1.409933770623057e+00 -2.027028662296039e+00  3.464779217358451e+32  4.937726124835851e-11 -4.392060261086779e-06
  -2.520727312041317e+02  1.402291687623159e+00 -1.971763135390420e+00  3.464779217358451e+32  5.627364294573662e-11 -4.780396490697115e-06
  -2.507598942297410e+02  1.403871539370791e+00 -1.980885666756180e+00  3.464779217358451e+32  5.194348654469360e-11 -4.607626342752871e-06
  -2.513262693760095e+02  1.401534831219913e+00 -1.961383409075893e+00  3.464779217358451e+32  5.224686502619656e-11 -4.569620852051484e-06
  -2.516648117600949e+02  1.400881939113545e+00 -1.955812622903682e+00  3.464779217358451e+32  5.171138248390093e-11 -4.546715091299388e-06
  -2.516648117600949e+02  1.400881939113545e+00 -1.955812622903682e+00  3.464779217358451e+32  5.171138248390093e-11 -4.546715091299388e-06
  -2.516648117600949e+02  1.400881939113545e+00 -1.955812622903682e+00  3.464779217358451e+32  5.171138248390093e-11 -4.546715091299388e-06
  -2.523193205752777e+02  1.404940568845664e+00 -1.991918895466404e+00  3.464779217358451e+32  5.847897768540123e-11 -4.854323732846919e-06
  -2.523193205752777e+02  1.404940568845664e+00 -1.991918895466404e+00  3.464779217358451e+32  5.847897768540123e-11 -4.854323732846919e-06
  -2.503904801570213e+02  1.407605885008835e+00 -2.016322776170627e+00  3.464779217358451e+32  5.971782889598391e-11 -4.899463119531251e-06
  -2.503904801570213e+02  1.407605885008835e+00 -2.016322776170627e+00  3.464779217358451e+32  5.971782889598391e-11 -4.899463119531251e-06
  -2.502036338694849e+02  1.407680709884177e+00 -2.016692527853246e+00  3.464779217358451e+32  5.944244120523780e-11 -4.886837029548165e-06
  -2.496503876760589e+02  1.405957675052516e+00 -2.001520443822561e+00  3.464779217358451e+32  5.767490824385530e-11 -4.849079064759000e-06
  -2.548247616678307e+02  1.408633661996559e+00 -2.025525119264066e+00  3.464779217358451e+32  6.542755041483915e-11 -5.131981411783554e-06
  -2.513590317248057e+02  1.406530312254418e+00 -2.004481362626653e+00  3.464779217358451e+32  5.878501511057375e-11 -4.799734463177465e-06
