Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.400527009333427e+00     1.404311110695559e+00     1.408902879911742e+00     1.410740784759466e+00     1.411558764181812e+00     3.214837031953244e-03     5.515877424192572e-03 
log_Z                        -2.043554284289460e+00    -2.040452294060264e+00    -2.024423021313005e+00    -1.986789535319725e+00    -1.953645774262348e+00     2.683137937026969e-02     4.495425501355599e-02 
mHe                           3.464779217358451e+32     3.464779217358451e+32     3.464779217358451e+32     3.464779217358451e+32     3.464779217358451e+32     0.000000000000000e+00     0.000000000000000e+00 
A3_surf                       4.606217690783077e-11     5.104963613798185e-11     5.471657065162236e-11     6.069966890467735e-11     6.461369941766029e-11     4.825016383347752e-12     9.275761254914758e-12 
Am1_surf                     -5.140958152292701e-06    -4.980654812046154e-06    -4.696264518674323e-06    -4.564167837584526e-06    -4.357117744382895e-06     2.082434872308142e-07     3.919202039549027e-07 
Radius                        1.095957101810668e+01     1.097159502074374e+01     1.098545640582955e+01     1.099773485454378e+01     1.100754145350325e+01     1.306991690001968e-02     2.398521769828488e-02 
Mass                          1.400527009333427e+00     1.404311110695560e+00     1.408902879911742e+00     1.410740784759466e+00     1.411558764181812e+00     3.214837031953133e-03     5.515877424192572e-03 
log_g                         2.503808112617057e+00     2.504311050962442e+00     2.504954650043745e+00     2.505786816692706e+00     2.506366526333186e+00     7.378828651318781e-04     1.279206858064486e-03 
Rho                           1.490695856990262e-03     1.493710444535465e-03     1.496595554873417e-03     1.501262220988618e-03     1.503419707206169e-03     3.775888226576298e-06     6.361925107953325e-06 
Age                           2.790497673227340e+03     2.801056045904456e+03     2.850710640300814e+03     2.961470630911215e+03     3.061933201439035e+03     8.020729250337968e+01     1.357177641058472e+02 
Teff                          4.635258827427488e+03     4.654000805929149e+03     4.675778483435261e+03     4.684537359780730e+03     4.686369625449287e+03     1.526827692579081e+01     2.555539901089969e+01 
Xc                            4.823257255752970e-34     4.829120963821510e-34     4.848744189357390e-34     4.903401217784009e-34     4.949756735865716e-34     3.714012698124947e-36     6.324974005637342e-36 
Luminosity                    5.002572910275639e+01     5.091004430582802e+01     5.198806164210237e+01     5.242818180508324e+01     5.261667658245695e+01     7.590687496276090e-01     1.295473739850280e+00 
Dnu                           4.078079871227044e+00     4.082334700383436e+00     4.086453901617201e+00     4.092767894151039e+00     4.095997759221479e+00     5.216596883801383e-03     8.958943997217528e-03 
numax                         3.995454094657961e+01     4.000915291210847e+01     4.007438041813547e+01     4.014481360707820e+01     4.019894989286721e+01     6.783034748486472e-02     1.222044731438032e-01 
Fe_H                         -2.939496843649847e-01    -2.904180480392504e-01    -2.725899988066640e-01    -2.332577137731207e-01    -2.011839371583959e-01     2.858016713306485e-02     4.638287360329441e-02 
