Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.486894284283007e+00     1.520464332558303e+00     1.556575424794125e+00     1.590469901314110e+00     1.619385465661921e+00     3.500278437790361e-02     6.624559068945701e-02 
log_Z                        -1.971026758681817e+00    -1.886622872156345e+00    -1.796115346317073e+00    -1.714484164004057e+00    -1.632147811955847e+00     8.606935407614424e-02     1.694394733629853e-01 
mHe                           1.376783820845145e-01     1.393379714712754e-01     1.411655032861227e-01     1.433868501477034e-01     1.455404377715719e-01     2.024439338214001e-03     3.931027843528709e-03 
A3_surf                       9.725710645126863e-13     1.345035904519051e-12     1.687957914290751e-12     2.038380977285316e-12     2.383061043895109e-12     3.466725363831325e-13     7.052449896912115e-13 
Am1_surf                     -4.427267089826748e-07    -4.008138140236512e-07    -3.575517816237263e-07    -3.148364518402668e-07    -2.709355424160725e-07     4.298868109169219e-08     8.589558328330117e-08 
Radius                        7.274256927800756e+00     7.334165577908689e+00     7.396173600556130e+00     7.454216157643098e+00     7.503229833284800e+00     6.002528986720446e-02     1.144864527420224e-01 
Mass                          1.486894284283007e+00     1.520464332558303e+00     1.556575424794125e+00     1.590469901314110e+00     1.619385465661921e+00     3.500278437790361e-02     6.624559068945701e-02 
log_g                         2.886655583973842e+00     2.889339272408023e+00     2.892184367477516e+00     2.894812424995771e+00     2.897049474998513e+00     2.736576293874027e-03     5.196945512335738e-03 
Rho                           5.401973503160145e-03     5.412494900591119e-03     5.424080449025997e-03     5.435828616823079e-03     5.447876871003502e-03     1.166685811597977e-05     2.295168392167863e-05 
Age                           1.842766244592035e+03     2.044616601813157e+03     2.347546409099055e+03     2.656142744238722e+03     2.989644682312874e+03     3.057630712127826e+02     5.734392188604197e+02 
Teff                          4.672509254701586e+03     4.715687788254179e+03     4.762146784458320e+03     4.814561266949619e+03     4.861309029760132e+03     4.943673934772005e+01     9.439988752927320e+01 
Xc                            8.419605275694284e-34     9.989160154232210e-34     1.154082678904749e-33     1.271670811273937e-33     1.381424676815408e-33     1.363773979253580e-34     2.697320746229895e-34 
Luminosity                    2.286010730920607e+01     2.402209205738654e+01     2.532604208261944e+01     2.685606511426259e+01     2.811460476510891e+01     1.416986528438025e+00     2.627248727951423e+00 
Dnu                           8.081487887349750e+00     8.087811336170804e+00     8.094252409140015e+00     8.100654585416848e+00     8.107469403954530e+00     6.421624623022204e-03     1.299075830239005e-02 
numax                         9.596314781506639e+01     9.638675297163833e+01     9.677071130102486e+01     9.712842473869908e+01     9.749936868666705e+01     3.708358835303756e-01     7.681104358003310e-01 
Fe_H                         -2.177273585695591e-01    -1.296108681963341e-01    -3.487738905432388e-02     5.172366346352437e-02     1.397418962805088e-01     9.066726582992926e-02     1.787346274250339e-01 
