Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.400405967547667e+00     1.403345262355424e+00     1.412869821076478e+00     1.437596143295442e+00     1.479435576329944e+00     1.712544047000863e-02     3.951480439113808e-02 
log_Z                        -2.044828979481093e+00    -2.038644419124372e+00    -2.020262240700018e+00    -1.989469402043627e+00    -1.936919912451766e+00     2.458750854037239e-02     5.395453351466306e-02 
mHe                           1.654638579249524e-01     1.693717851617433e-01     1.718099754783296e-01     1.728286033015213e-01     1.733261005301190e-01     1.728409069888984e-03     3.931121302583329e-03 
A3_surf                       5.084094569154807e-11     5.423329468127133e-11     5.723823086425182e-11     6.029549878531378e-11     6.327474351752102e-11     3.031102052021225e-12     6.216898912986476e-12 
Am1_surf                     -5.345054363481951e-06    -5.160582461622360e-06    -4.986412327636744e-06    -4.819977754471853e-06    -4.636775424859046e-06     1.703023535752534e-07     3.541394693114528e-07 
Radius                        1.052135949533270e+01     1.053638056778268e+01     1.056323135550452e+01     1.062828119148441e+01     1.073292870380854e+01     4.595031185086818e-02     1.057846042379218e-01 
Mass                          1.400405967547667e+00     1.403345262355425e+00     1.412869821076478e+00     1.437596143295442e+00     1.479435576329944e+00     1.712544047000852e-02     3.951480439113819e-02 
log_g                         2.538686099112961e+00     2.539638026861264e+00     2.540832373919661e+00     2.543104213016758e+00     2.546654827104313e+00     1.733093077747272e-03     3.984363995675810e-03 
Rho                           1.681134063842505e-03     1.685879320179805e-03     1.690254243224821e-03     1.694535138788002e-03     1.698918930106370e-03     4.327909304098639e-06     8.892433131932483e-06 
Age                           2.429575301285422e+03     2.667976211403603e+03     2.826391189009878e+03     2.911529382988512e+03     3.037951076017422e+03     1.217765857924546e+02     3.041878873660003e+02 
Teff                          4.646979758652433e+03     4.675560084348395e+03     4.692760715949941e+03     4.702721092314318e+03     4.710902654357714e+03     1.358050398296109e+01     3.196144785264050e+01 
Xc                            4.724049097125604e-34     4.797521150979793e-34     4.940370675145412e-34     5.411271310461805e-34     6.758388204787148e-34     3.068750797410061e-35     1.017169553830772e-34 
Luminosity                    4.680180344164167e+01     4.799643918372467e+01     4.875532588551434e+01     4.952413217878809e+01     5.088894179364463e+01     7.638464975317127e-01     2.043569176001483e+00 
Dnu                           4.345907167970206e+00     4.351489384044378e+00     4.357558343169181e+00     4.364600988593696e+00     4.374812692794413e+00     6.555802274658795e-03     1.445276241210358e-02 
numax                         4.320938265678404e+01     4.331402708251660e+01     4.344613971182907e+01     4.366881333890909e+01     4.402839165106001e+01     1.773931281962433e-01     4.095044971379842e-01 
Fe_H                         -2.954083525940359e-01    -2.883723392429013e-01    -2.680729726315947e-01    -2.359505303107733e-01    -1.827400810153811e-01     2.621090446606404e-02     5.633413578932739e-02 
