
################################################################################
############################   Model: statistical   ############################
################################################################################
ln(P)                                   -1.000000000000000e+300
Mass                                     1.011602415930564e+00
log_Z                                   -1.756123126555438e+00
Age                                      3.751178450940979e+03
Radius                                   1.004077205369103e+00
Mass                                     1.011602415930564e+00
log_g                                    4.439774353805602e+00
Rho                                      1.409994083395493e+00
Age                                      3.751178450940980e+03
Teff                                     5.806694187423868e+03
X                                        7.128974468242001e-01
numax                                    3.106590869333920e+03
Dnu                                      1.375215611895440e+02
Luminosity                               1.028248023476746e+00
Fe_H                                     3.790905538898429e-03
M_H                                      3.790905538898429e-03

################################################################################
################################   Frequencies   ###############################
################################################################################
l    n    freq_theo         freq_obs          dfreq_obs        
   0   16  2.3594998548e+03  2.3628112788e+03  8.2804864956e-02
   0   17  2.4933212663e+03  2.4963355340e+03  9.5877083264e-02
   0   18  2.6274613592e+03  2.6299266848e+03  7.9588943785e-02
   0   19  2.7623155678e+03  2.7644117191e+03  9.9141285116e-02
   0   20  2.8982000404e+03  2.8990688381e+03  5.4368308302e-02
   0   21  3.0345028377e+03  3.0337662282e+03  6.2248049536e-02
   0   22  3.1707285877e+03  3.1684988204e+03  6.5192230911e-02
   0   23  3.3071832016e+03  3.3036198283e+03  9.3280790450e-02
   0   24  3.4437653803e+03  3.4391237056e+03  1.7155854240e-01
   0   25  3.5808904071e+03  3.5752018388e+03  3.9969659523e-01
   0   26  3.7183603742e+03  3.7102780825e+03  1.0606908060e+00
   1   16  2.4224203620e+03  2.4255055737e+03  7.0311213432e-02
   1   17  2.5563480683e+03  2.5590981038e+03  1.1363468969e-01
   1   18  2.6908704604e+03  2.6934766215e+03  8.3833767613e-02
   1   19  2.8265565230e+03  2.8282509143e+03  7.4300506031e-02
   1   20  2.9627118565e+03  2.9633226649e+03  5.7353027221e-02
   1   21  3.0992527354e+03  3.0980936626e+03  7.1721385830e-02
   1   22  3.2356598169e+03  3.2332108385e+03  9.8407909285e-02
   1   23  3.3722442380e+03  3.3686894165e+03  1.2217795716e-01
   1   24  3.5092768295e+03  3.5041747186e+03  1.6962792230e-01
   1   25  3.6465904520e+03  3.6407413065e+03  2.4187695863e-01
   1   26  3.7843444980e+03  3.7773381406e+03  2.6654387587e-01
   2   16  2.4820122797e+03  2.4856641370e+03  1.9571192150e-01
   2   17  2.6164003814e+03  2.6195484139e+03  1.3436832302e-01
   2   18  2.7514545253e+03  2.7545177696e+03  2.0794177871e-01
   2   19  2.8876323501e+03  2.8896884870e+03  1.4777646094e-01
   2   20  3.0241999150e+03  3.0246940817e+03  8.9511383593e-02
   2   21  3.1607517872e+03  3.1597980031e+03  1.1033807461e-01
   2   22  3.2974875026e+03  3.2951078659e+03  1.1315880283e-01
   2   23  3.4343198666e+03  3.4305994914e+03  2.8707067117e-01
   2   24  3.5717123996e+03  3.5669815606e+03  3.2639501044e-01
   2   25  3.7094099524e+03  3.7034402519e+03  3.0537801449e-01
   2   26  3.8473335981e+03  3.8400245931e+03  3.8242072203e-01
