# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Age (in Myrs), $t$    
  -9.528481840421702e+03  1.012947632895430e+00 -1.757113898785075e+00  3.682976763828153e+03
  -9.528481840421702e+03  1.012947632895430e+00 -1.757113898785075e+00  3.682976763828153e+03
  -9.526773044554729e+03  1.012807589198508e+00 -1.757092545167977e+00  3.689510218863189e+03
  -9.526773044554729e+03  1.012807589198508e+00 -1.757092545167977e+00  3.689510218863189e+03
  -9.526773044554729e+03  1.012807589198508e+00 -1.757092545167977e+00  3.689510218863189e+03
  -9.526439545930678e+03  1.012656512606140e+00 -1.757110520963206e+00  3.696261776831521e+03
  -9.526439545930678e+03  1.012656512606140e+00 -1.757110520963206e+00  3.696261776831521e+03
  -9.526926601003619e+03  1.012709169610748e+00 -1.757114922756938e+00  3.693832635024469e+03
  -9.520209095274515e+03  1.011659973701307e+00 -1.757077456375398e+00  3.741791155563810e+03
  -9.513168434446372e+03  1.010923580746552e+00 -1.756983642035498e+00  3.775974150413329e+03
  -9.513168434446372e+03  1.010923580746552e+00 -1.756983642035498e+00  3.775974150413329e+03
  -9.513168434446372e+03  1.010923580746552e+00 -1.756983642035498e+00  3.775974150413329e+03
  -9.510383445361105e+03  1.010341324610001e+00 -1.756977942673909e+00  3.802518085321072e+03
  -9.510383445361105e+03  1.010341324610001e+00 -1.756977942673909e+00  3.802518085321072e+03
  -9.510383445361105e+03  1.010341324610001e+00 -1.756977942673909e+00  3.802518085321072e+03
  -9.510089011443481e+03  1.010258200100940e+00 -1.756978524155992e+00  3.806296445642319e+03
  -9.510305798035621e+03  1.010272589712635e+00 -1.756978867038194e+00  3.805630128768502e+03
  -9.510305798035621e+03  1.010272589712635e+00 -1.756978867038194e+00  3.805630128768502e+03
  -9.510305798035621e+03  1.010272589712635e+00 -1.756978867038194e+00  3.805630128768502e+03
  -9.509328908528581e+03  1.010212189104863e+00 -1.757007580653116e+00  3.808308991842972e+03
  -9.510312266358980e+03  1.010272869994428e+00 -1.756978733796100e+00  3.805617697824963e+03
  -9.510312266358980e+03  1.010272869994428e+00 -1.756978733796100e+00  3.805617697824963e+03
  -9.510312266358980e+03  1.010272869994428e+00 -1.756978733796100e+00  3.805617697824963e+03
  -9.510312266358980e+03  1.010272869994428e+00 -1.756978733796100e+00  3.805617697824963e+03
  -9.510632608853144e+03  1.010148273246446e+00 -1.756984808059541e+00  3.811215522374149e+03
  -9.510632608853144e+03  1.010148273246446e+00 -1.756984808059541e+00  3.811215522374149e+03
  -9.511015109232358e+03  1.010155423909071e+00 -1.756996487371587e+00  3.810812200262709e+03
  -9.512840992363541e+03  1.010262302695655e+00 -1.757020482249856e+00  3.805752722938823e+03
  -9.512840992363541e+03  1.010262302695655e+00 -1.757020482249856e+00  3.805752722938823e+03
  -9.512731988585780e+03  1.010488082148903e+00 -1.757017367886856e+00  3.795542739728596e+03
  -9.512164395927983e+03  1.010445968219441e+00 -1.757021957974491e+00  3.797461269223534e+03
  -9.511679405050665e+03  1.010410232703434e+00 -1.757025561588705e+00  3.799093951269387e+03
  -9.514056372615521e+03  1.010717504757607e+00 -1.757076291798949e+00  3.784816242354280e+03
  -9.511674670870114e+03  1.010409577089120e+00 -1.757025453347648e+00  3.799124415056137e+03
  -9.511430616932312e+03  1.009932360952253e+00 -1.757027557126531e+00  3.820883791245493e+03
  -9.511430616932312e+03  1.009932360952253e+00 -1.757027557126531e+00  3.820883791245493e+03
  -9.511430616932312e+03  1.009932360952253e+00 -1.757027557126531e+00  3.820883791245493e+03
  -9.509815166588860e+03  1.010025508376784e+00 -1.757040455412781e+00  3.816560052040644e+03
  -9.509994594164809e+03  1.010027372317475e+00 -1.757070017280217e+00  3.816347741374545e+03
  -9.509994594164809e+03  1.010027372317475e+00 -1.757070017280217e+00  3.816347741374545e+03
  -9.509994594164809e+03  1.010027372317475e+00 -1.757070017280217e+00  3.816347741374545e+03
  -9.509994594164809e+03  1.010027372317475e+00 -1.757070017280217e+00  3.816347741374545e+03
  -9.509994594164809e+03  1.010027372317475e+00 -1.757070017280217e+00  3.816347741374545e+03
  -9.510118164575957e+03  1.010075475512799e+00 -1.757060325137156e+00  3.814199963228406e+03
  -9.510118164575957e+03  1.010075475512799e+00 -1.757060325137156e+00  3.814199963228406e+03
  -9.509662099064277e+03  1.010098910737387e+00 -1.757040200995040e+00  3.813262702153416e+03
  -9.509919071846605e+03  1.010161153032942e+00 -1.757037292177038e+00  3.810441766624533e+03
  -9.510320655602653e+03  1.010218026449113e+00 -1.757035061354831e+00  3.807846149448969e+03
  -9.510315390255435e+03  1.010224496646826e+00 -1.757031390448248e+00  3.807568933706907e+03
  -9.510315390255435e+03  1.010224496646826e+00 -1.757031390448248e+00  3.807568933706907e+03
  -9.510315390255435e+03  1.010224496646826e+00 -1.757031390448248e+00  3.807568933706907e+03
  -9.510315390255435e+03  1.010224496646826e+00 -1.757031390448248e+00  3.807568933706907e+03
  -9.509967327676084e+03  1.010195340204414e+00 -1.757054486241602e+00  3.808872635835407e+03
  -9.509967327676084e+03  1.010195340204414e+00 -1.757054486241602e+00  3.808872635835407e+03
  -9.512139458290132e+03  1.010253449436697e+00 -1.757112618315562e+00  3.805968476015364e+03
