Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.477229693885056e+00     1.508942009525432e+00     1.538847475032311e+00     1.576163992437287e+00     1.603436125571293e+00     3.361099145592772e-02     6.310321584311862e-02 
log_Z                        -1.978826182790043e+00    -1.889439045333977e+00    -1.811224460095490e+00    -1.735505162368131e+00    -1.650615145466618e+00     7.696694148292260e-02     1.641055186617125e-01 
mHe                           1.435660140797549e-01     1.452345890891483e-01     1.473751334186006e-01     1.496290620061865e-01     1.516911376558007e-01     2.197236458519089e-03     4.062561788022889e-03 
A3_surf                       8.614253676067716e-13     1.198615906695589e-12     1.519921230450144e-12     1.851281103141720e-12     2.199516108628122e-12     3.263325982230655e-13     6.690453705106754e-13 
Am1_surf                     -3.985308708511010e-07    -3.546380547955381e-07    -3.130368597765548e-07    -2.726301327758946e-07    -2.322351163776975e-07     4.100396100982175e-08     8.314787723670172e-08 
Radius                        8.260848566710543e+00     8.323412418404311e+00     8.380730895811450e+00     8.451471067926997e+00     8.503399687974422e+00     6.402932476134282e-02     1.212755606319398e-01 
Mass                          1.477229693885056e+00     1.508942009525432e+00     1.538847475032310e+00     1.576163992437287e+00     1.603436125571293e+00     3.361099145592772e-02     6.310321584311862e-02 
log_g                         2.773407955351288e+00     2.776173899404111e+00     2.778740921833019e+00     2.781813537226743e+00     2.783990748842573e+00     2.819818911315997e-03     5.291396745642052e-03 
Rho                           3.673960537721613e-03     3.679585096919315e-03     3.685390758441706e-03     3.691493851894625e-03     3.698160604539779e-03     5.954377487655356e-06     1.210003340908271e-05 
Age                           1.914636015893750e+03     2.138752303355404e+03     2.420924191037479e+03     2.695189815197117e+03     3.035591850945502e+03     2.782187559208562e+02     5.604779175258760e+02 
Teff                          4.626479226652383e+03     4.673124236650663e+03     4.715469373846930e+03     4.759601198644182e+03     4.812330591569990e+03     4.323848099675934e+01     9.292568245880375e+01 
Xc                            7.802803287691579e-34     9.149236567063719e-34     1.068611370347566e-33     1.206051011835403e-33     1.311177062493632e-33     1.455636775645156e-34     2.654483668622369e-34 
Luminosity                    2.836058974787798e+01     2.988211754640704e+01     3.133196043935533e+01     3.290564500208370e+01     3.473508736148354e+01     1.511763727838330e+00     3.187248806802783e+00 
Dnu                           6.585488355998143e+00     6.591918207884808e+00     6.598002368243057e+00     6.604270279933639e+00     6.610923024072892e+00     6.176036024415410e-03     1.271733403737452e-02 
numax                         7.418985336435033e+01     7.456448439820595e+01     7.495273136375373e+01     7.528898410164979e+01     7.563289369581227e+01     3.622498517219199e-01     7.215201657309720e-01 
Fe_H                         -2.253467904136026e-01    -1.324314104861922e-01    -5.060403132308350e-02     2.878742955297442e-02     1.188705371676235e-01     8.060942001958329e-02     1.721086637906130e-01 
