Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.470298677320508e+00     1.514208410118199e+00     1.564964468213855e+00     1.603562673073263e+00     1.639586255820180e+00     4.467713147753194e-02     8.464378924983640e-02 
log_Z                        -1.920094461481564e+00    -1.847371070499764e+00    -1.770456418027723e+00    -1.700458476028384e+00    -1.629942633392294e+00     7.345629723569014e-02     1.450759140446354e-01 
mHe                           1.270581830179615e-01     1.287895788890803e-01     1.310276116004693e-01     1.342855582659978e-01     1.373507849998943e-01     2.747989688458768e-03     5.146300990966385e-03 
A3_surf                       1.232324097411971e-13     2.451266702785111e-13     3.642455865041335e-13     4.801522006297671e-13     6.038186773734566e-13     1.175127651756280e-13     2.402931338161298e-13 
Am1_surf                     -2.091708806476164e-07    -1.825061211458796e-07    -1.578879834964462e-07    -1.321699539994978e-07    -1.065093020587819e-07     2.516808357319094e-08     5.133078929441724e-08 
Radius                        5.693638489315604e+00     5.750787269061153e+00     5.816674372497244e+00     5.866893754659422e+00     5.912520576745808e+00     5.805324279913471e-02     1.094410437151021e-01 
Mass                          1.470298677320508e+00     1.514208410118199e+00     1.564964468213855e+00     1.603562673073263e+00     1.639586255820180e+00     4.467713147753194e-02     8.464378924983640e-02 
log_g                         3.094794051534095e+00     3.098756395288722e+00     3.103161812702808e+00     3.106440204698274e+00     3.109288064462531e+00     3.841904704775523e-03     7.247006464217609e-03 
Rho                           1.116648848390509e-02     1.118991696524440e-02     1.121129139592827e-02     1.123200789436583e-02     1.125232275391211e-02     2.104546456071100e-05     4.291713500351093e-05 
Age                           1.829857682486904e+03     2.027410811233080e+03     2.283094358656028e+03     2.621683271990139e+03     2.958354987303087e+03     2.971362303785294e+02     5.642486524080915e+02 
Teff                          4.766311062471061e+03     4.802697917036237e+03     4.842004854841121e+03     4.883421333030637e+03     4.925557588150316e+03     4.036170799720048e+01     7.962326283962784e+01 
Xc                            7.249454893407813e-34     9.483727026441892e-34     1.213101213108315e-33     1.393309413778414e-33     1.551120034526483e-33     2.224683555671124e-34     4.130872725928510e-34 
Luminosity                    1.525264443784258e+01     1.595602393117226e+01     1.676125668194751e+01     1.752564834572440e+01     1.832977227968228e+01     7.848122072760679e-01     1.538563920919847e+00 
Dnu                           1.185954803097566e+01     1.187583299162828e+01     1.189103509741093e+01     1.190718032345203e+01     1.192569203701943e+01     1.567366591187458e-02     3.307200302188562e-02 
numax                         1.532151265457620e+02     1.546623387162687e+02     1.559184317268835e+02     1.570784113579145e+02     1.581884943411271e+02     1.208036320822899e+00     2.486683897682525e+00 
Fe_H                         -1.642862300851495e-01    -9.046007403054544e-02    -9.289115217211184e-03     6.645635405867267e-02     1.421777725500382e-01     7.845821404460906e-02     1.532320013175939e-01 
