# Column 1: Order (n)
# Column 2: Degree (l)
# Column 3: Frequency (microHz)
# Column 4: Frequency positive error (microHz)
# Column 5: Frequency negative error (microHz)
# Column 6: Linewidth (microHz)
# Column 7: Linewidth positive error (microHz)
# Column 8: Linewidth negative error (microHz)
# Column 9: Height (ppm^2/microHz)
# Column 10: Height positive error (ppm^2/microHz)
# Column 11: Height negative error (ppm^2/microHz)
#-------------------------------------------------
  6  2  65.1754  0.0775  0.0864  0.5460  0.2860  0.2221  334.5899  166.1484  102.1752
  7  0  66.7149  0.1016  0.1297  0.6106  0.2752  0.3610  279.0930  215.2373  119.5632
  7  2  73.4370  0.0972  0.0897  0.6441  0.2476  0.2817  265.5573  123.1144  75.5598
  8  0  74.5043  0.0170  0.0166  0.1154  0.0473  0.0349  2551.4522  1498.3550  834.4954
  8  2  81.2820  0.0399  0.0336  0.2898  0.1731  0.1004  802.4165  381.7929  246.3915
  9  0  82.2439  0.0264  0.0303  0.2687  0.0962  0.0736  2083.6075  785.0762  523.9401
  9  2  89.3956  0.0526  0.0484  0.5522  0.2125  0.1492  707.4321  222.8975  152.9873
 10  0  90.4287  0.0140  0.0138  0.1541  0.0381  0.0326  8485.9271  3374.7763  2127.1999
 10  2  97.5425  0.0363  0.0343  0.4694  0.1230  0.0965  1273.8219  348.2357  250.9084
 11  0  98.4621  0.0108  0.0109  0.1025  0.0262  0.0194  11101.1608  4043.9889  3044.8435
 11  2  105.5855  0.0832  0.0815  0.8694  0.0935  0.1635  413.4193  84.0630  68.5804
 12  0  106.5709  0.0203  0.0213  0.2161  0.0570  0.0480  3219.1129  1177.7186  765.3754
# 12  2  112.6388  0.2931  0.1588  0.7662  0.1696  0.2373  115.0884  66.1646  43.8916
# 13  0  114.6646  0.1075  0.0857  0.9147  0.0623  0.1384  579.3019  96.6185  84.4046
