# Column 1: Order (n)
# Column 2: Degree (l)
# Column 3: Frequency (microHz)
# Column 4: Frequency positive error (microHz)
# Column 5: Frequency negative error (microHz)
# Column 6: Linewidth (microHz)
# Column 7: Linewidth positive error (microHz)
# Column 8: Linewidth negative error (microHz)
# Column 9: Height (ppm^2/microHz)
# Column 10: Height positive error (ppm^2/microHz)
# Column 11: Height negative error (ppm^2/microHz)
#-------------------------------------------------
  6  0  34.8335  0.0186  0.0235  0.0919  0.0722  0.0384  2841.7272  2445.2329  1244.8624
  6  1  37.3117  0.0758  0.0454  0.3424  0.2155  0.1658  569.6686  385.0123  209.1430
  6  2  38.9576  0.0593  0.0704  0.2870  0.1909  0.1355  586.1178  415.6373  255.2745
  7  0  39.5370  0.0336  0.0300  0.1702  0.0843  0.0666  2378.0165  1610.7599  841.2685
  7  1  41.9296  0.0354  0.0304  0.2265  0.0878  0.0752  981.2270  491.2660  297.3760
  7  2  43.4899  0.0414  0.0325  0.2054  0.0962  0.0764  1255.2104  718.0574  422.2723
  8  0  44.1886  0.0181  0.0182  0.1695  0.0468  0.0405  6029.3446  2547.9787  1466.0422
  8  1  46.8071  0.0351  0.0365  0.3115  0.0976  0.0739  951.7503  334.2063  239.1172
  8  2  48.4954  0.0256  0.0250  0.2077  0.0663  0.0524  2207.9148  902.5647  590.8133
  9  0  49.1226  0.0186  0.0198  0.1592  0.0455  0.0389  5073.4436  2414.9928  1294.5818
  9  1  51.6349  0.0293  0.0298  0.3123  0.0875  0.0713  1193.4466  415.6956  283.2496
  9  2  53.4303  0.0359  0.0356  0.2783  0.1194  0.0919  1296.2243  623.5627  384.3758
 10  0  53.9947  0.0247  0.0256  0.2575  0.0532  0.0515  4152.4828  1326.0824  801.6651
 10  1  56.5870  0.0250  0.0242  0.2430  0.0584  0.0487  1263.6897  420.5849  290.4668
 10  2  58.2514  0.0323  0.0280  0.2029  0.1177  0.0917  928.9689  668.0176  315.7209
 11  0  58.9392  0.0311  0.0315  0.3398  0.0829  0.0722  1960.2212  564.6826  410.0518
 11  1  61.6371  0.0339  0.0371  0.3554  0.1009  0.0729  662.1388  203.9740  152.2846
 11  2  63.3761  0.0688  0.0524  0.3498  0.2103  0.1278  524.5828  225.7412  143.2855
 12  0  63.9667  0.0676  0.0558  0.3631  0.2175  0.1174  667.7848  287.6524  251.8780
 12  1  66.6025  0.0366  0.0358  0.2975  0.0906  0.0781  429.0715  163.5070  109.7409
 13  0  68.8764  0.0823  0.0897  0.7169  0.1945  0.2214  304.9230  96.7043  70.7656
 13  1  71.3483  0.4137  0.1894  0.5175  0.3612  0.4026  80.2835  132.9376  33.2399
