# Column 1: Order (n)
# Column 2: Degree (l)
# Column 3: Frequency (microHz)
# Column 4: Frequency positive error (microHz)
# Column 5: Frequency negative error (microHz)
# Column 6: Linewidth (microHz)
# Column 7: Linewidth positive error (microHz)
# Column 8: Linewidth negative error (microHz)
# Column 9: Height (ppm^2/microHz)
# Column 10: Height positive error (ppm^2/microHz)
# Column 11: Height negative error (ppm^2/microHz)
#-------------------------------------------------
#  7  2  74.8359  0.1893  0.2696  0.5850  0.3003  0.3549  61.0677  48.7741  44.7660
#  8  0  76.0993  0.0896  0.1301  0.3839  0.4247  0.3304  126.0946  393.8500  77.5412
#  8  2  82.9877  0.1850  0.6230  0.8003  0.1609  0.5740  124.2354  73.6503  64.3462
  9  0  83.9695  0.0420  0.0762  0.4365  0.4273  0.2239  495.9076  308.2196  130.4550
  9  2  91.2160  0.0158  0.0186  0.1323  0.1948  0.0865  702.4473  897.6126  338.3733
 10  0  92.2775  0.0153  0.0146  0.1336  0.0600  0.0402  1891.4704  1008.6149  589.0431
 10  2  99.5204  0.0232  0.0236  0.2262  0.0771  0.0611  723.8143  288.6895  187.8483
 11  0  100.5210  0.0256  0.0261  0.2976  0.0862  0.0661  1221.8506  385.7225  286.5453
 11  2  107.7784  0.0413  0.0383  0.3260  0.1119  0.0904  334.1982  131.7264  85.8043
 12  0  108.7555  0.0206  0.0203  0.1696  0.0653  0.0494  950.2747  445.0894  283.4391
 12  2  116.2728  0.1125  0.0793  0.5363  0.2887  0.2570  106.1909  62.9563  38.8600
 13  0  117.1342  0.0734  0.0791  0.4639  0.2614  0.1546  229.0402  104.0357  68.5571
# 13  2  124.1459  0.5033  0.1730  0.6061  0.3011  0.5060  58.7170  92.9423  32.8967
# 14  0  125.6081  0.3514  0.1361  0.6940  0.2286  0.4894  57.5798  55.5533  46.7660
