Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.544920446215033e+00     1.594455881001220e+00     1.632599790204437e+00     1.668640453826077e+00     1.703769093841972e+00     3.709228641242857e-02     7.942432381346942e-02 
log_Z                        -1.930784079342001e+00    -1.856638591437261e+00    -1.782924632205163e+00    -1.703939541880005e+00    -1.626690526611870e+00     7.634952477862833e-02     1.520467763650657e-01 
mHe                           1.287126562903359e-01     1.302023091624111e-01     1.319530632529042e-01     1.340416141485257e-01     1.371994049661519e-01     1.919652493057283e-03     4.243374337908015e-03 
A3_surf                       4.345247739661179e-13     8.109462334562980e-13     1.194614123585409e-12     1.590158137170717e-12     1.980594382208784e-12     3.896059518572097e-13     7.730348041213328e-13 
Am1_surf                     -4.164299307617491e-07    -3.552854728498581e-07    -2.925525401645343e-07    -2.347811249939846e-07    -1.778957877596503e-07     6.025217392793675e-08     1.192670715010494e-07 
Radius                        6.573090932540340e+00     6.644356695613576e+00     6.698804541824453e+00     6.751476503204319e+00     6.801660503175173e+00     5.355990379537179e-02     1.142847853174165e-01 
Mass                          1.544920446215033e+00     1.594455881001220e+00     1.632599790204437e+00     1.668640453826077e+00     1.703769093841972e+00     3.709228641242857e-02     7.942432381346964e-02 
log_g                         2.991185801565290e+00     2.995653194594403e+00     2.998868490770475e+00     3.001707709318576e+00     3.004559721404077e+00     3.027257362086644e-03     6.686959919393720e-03 
Rho                           7.616718387236704e-03     7.635568448893343e-03     7.654263247273677e-03     7.672677412215745e-03     7.690949818705714e-03     1.855448166120099e-05     3.711571573450497e-05 
Age                           1.615161052040797e+03     1.753820148627468e+03     1.955985728596134e+03     2.212226029899445e+03     2.507946273902693e+03     2.292029406359885e+02     4.463926109309481e+02 
Teff                          4.732389555896541e+03     4.774012881662627e+03     4.816642772033108e+03     4.856652248601267e+03     4.898096508101729e+03     4.131968346932035e+01     8.285347610259396e+01 
Xc                            1.124001192443135e-33     1.347528752109763e-33     1.508951572907706e-33     1.666866135738198e-33     1.827449355826311e-33     1.596686918142172e-34     3.517240816915879e-34 
Luminosity                    1.977959115217069e+01     2.071470302576882e+01     2.176827638573941e+01     2.273806040692146e+01     2.360457677270202e+01     1.011678690576320e+00     1.912492810265668e+00 
Dnu                           9.700446934029163e+00     9.735065699551866e+00     9.759973043325251e+00     9.775738342740683e+00     9.791063312864303e+00     2.033632159440835e-02     4.530818941756998e-02 
numax                         1.210661495856493e+02     1.221643843664005e+02     1.230104126649402e+02     1.238486439606874e+02     1.245584390796762e+02     8.421297971434285e-01     1.746144747013453e+00 
Fe_H                         -1.759254181601652e-01    -1.005848044371272e-01    -2.155429124596156e-02     6.284040358262734e-02     1.457489862173531e-01     8.171260400987726e-02     1.608372021887591e-01 
