Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.542735145924531e+00     1.574915497697664e+00     1.604063457856280e+00     1.629557237320984e+00     1.651068659224372e+00     2.732086981165982e-02     5.416675664992054e-02 
log_Z                        -1.984511394388450e+00    -1.911794042185015e+00    -1.833562619294119e+00    -1.759970463707588e+00    -1.676150560824536e+00     7.591178923871333e-02     1.541804167819575e-01 
mHe                           1.307146737829668e-01     1.318011050244894e-01     1.330601664480700e-01     1.344227456803586e-01     1.361085766347087e-01     1.310820327934600e-03     2.696951425870953e-03 
A3_surf                       7.575771897356516e-13     9.405492390662827e-13     1.131510516680878e-12     1.332260514959027e-12     1.527981786969102e-12     1.958556379463722e-13     3.852022986167254e-13 
Am1_surf                     -3.432345764983905e-07    -3.130901463574257e-07    -2.809750438792534e-07    -2.503243359153283e-07    -2.213372550080586e-07     3.138290522104869e-08     6.094866074516596e-08 
Radius                        6.397010569167844e+00     6.445308837131585e+00     6.488618189564905e+00     6.525760047341773e+00     6.555701834269987e+00     4.022560510509399e-02     7.934563255107152e-02 
Mass                          1.542735145924531e+00     1.574915497697664e+00     1.604063457856280e+00     1.629557237320984e+00     1.651068659224372e+00     2.732086981166004e-02     5.416675664992054e-02 
log_g                         3.014246123484761e+00     3.016805355376354e+00     3.018987229508007e+00     3.020895048769164e+00     3.022518304180378e+00     2.044846696404923e-03     4.136090347808707e-03 
Rho                           8.250510015241498e-03     8.264079881729483e-03     8.279549993733816e-03     8.294549478336194e-03     8.310962736231640e-03     1.523479830335510e-05     3.022636049507081e-05 
Age                           1.695880303327513e+03     1.818907621104276e+03     2.008957344336667e+03     2.237855610977247e+03     2.553163901628996e+03     2.094739949364854e+02     4.286417991507417e+02 
Teff                          4.757136048726168e+03     4.805066346327178e+03     4.845839160732221e+03     4.890663149745900e+03     4.929558326040266e+03     4.279840170936131e+01     8.621113865704910e+01 
Xc                            1.130546230282277e-33     1.241228048157631e-33     1.336320028946736e-33     1.432504622520508e-33     1.527471353655513e-33     9.563828718143826e-35     1.984625616866182e-34 
Luminosity                    1.896485527977910e+01     2.000915716699224e+01     2.092675297378970e+01     2.189854633881946e+01     2.263893832341595e+01     9.446945859136147e-01     1.837041521818424e+00 
Dnu                           1.013933508146229e+01     1.014894823438162e+01     1.015747425847518e+01     1.016596558010264e+01     1.017555110332017e+01     8.508672860508604e-03     1.810801092894021e-02 
numax                         1.274454551559628e+02     1.279606156642391e+02     1.284463529073168e+02     1.289273951129147e+02     1.293979750035344e+02     4.833897243378260e-01     9.762599237857970e-01 
Fe_H                         -2.309807207566868e-01    -1.554446112275225e-01    -7.484042436173866e-02     7.916949777995722e-04     9.100049773708166e-02     7.811815310266104e-02     1.609906092468842e-01 
