
################################################################################
############################   Model: statistical   ############################
################################################################################
ln(P)                                   -2.024836556998178e+02
Mass                                     1.009853990940158e+00
log_Z                                   -1.618036879522355e+00
Age                                      4.586656853850533e+03
A3_surf                                  6.865651790512709e-16
Am1_surf                                -2.207889910575799e-09
Radius                                   1.003770374563578e+00
Mass                                     1.009892292156576e+00
log_g                                    4.439065274523358e+00
Rho                                      1.407735528584521e+00
Age                                      4.586656853850532e+03
Teff                                     5.703073262447464e+03
X                                        6.951154248232673e-01
numax                                    3.129945018063664e+03
Dnu                                      1.372495145895069e+02
Luminosity                               9.602727646550269e-01
Fe_H                                     1.549693928676539e-01
M_H                                      1.549693928676539e-01

################################################################################
################################   Frequencies   ###############################
################################################################################
l    n    freq_theo         freq+surf. corr.  freq_obs          dfreq_obs        
   0   15  2.2292541064e+03  2.2283726955e+03  2.2287490000e+03  3.1304951685e-02
   0   16  2.3641419744e+03  2.3627722409e+03  2.3627880000e+03  3.5777087640e-02
   0   17  2.4981977206e+03  2.4962192903e+03  2.4961800000e+03  3.8013155618e-02
   0   18  2.6322707491e+03  2.6296032228e+03  2.6296680000e+03  3.3541019662e-02
   0   19  2.7675164283e+03  2.7640666672e+03  2.7641420000e+03  3.3541019662e-02
   0   20  2.9033058624e+03  2.8989268935e+03  2.8990220000e+03  2.9068883707e-02
   0   21  3.0392898616e+03  3.0337601601e+03  3.0337540000e+03  3.1304951685e-02
   0   22  3.1754717704e+03  3.1686338215e+03  3.1686180000e+03  3.8013155618e-02
   0   23  3.3116633077e+03  3.3034376130e+03  3.3035200000e+03  4.6957427527e-02
   0   24  3.4483841791e+03  3.4387217742e+03  3.4389920000e+03  6.7082039325e-02
   0   25  3.5855224160e+03  3.5744817224e+03  3.5748930000e+03  1.0733126292e-01
   0   26  3.7228504143e+03  3.7106386867e+03  3.7107170000e+03  1.9677398202e-01
   0   27  3.8605317861e+03  3.8478303451e+03  3.8469930000e+03  3.9578403202e-01
   1   15  2.2929128844e+03  2.2918218851e+03  2.2919930000e+03  3.3541019662e-02
   1   16  2.4272577296e+03  2.4256139230e+03  2.4255950000e+03  3.3541019662e-02
   1   17  2.5615544935e+03  2.5592537061e+03  2.5591620000e+03  3.3541019662e-02
   1   18  2.6963434265e+03  2.6933255332e+03  2.6933470000e+03  3.1304951685e-02
   1   19  2.8319505021e+03  2.8280826232e+03  2.8281500000e+03  3.1304951685e-02
   1   20  2.9682129194e+03  2.9633111622e+03  2.9633220000e+03  3.1304951685e-02
   1   21  3.1043330316e+03  3.0982078427e+03  3.0981400000e+03  3.3541019662e-02
   1   22  3.2406414243e+03  3.2331460840e+03  3.2331390000e+03  4.0249223595e-02
   1   23  3.3772780660e+03  3.3683838545e+03  3.3684690000e+03  5.1429563483e-02
   1   24  3.5142163815e+03  3.5039041817e+03  3.5041290000e+03  6.7082039325e-02
   1   25  3.6516504313e+03  3.6400172783e+03  3.6404750000e+03  8.4970583145e-02
   1   26  3.7892231947e+03  3.7766944221e+03  3.7770670000e+03  1.1627553483e-01
   1   27  3.9270128158e+03  3.9146105582e+03  3.9135700000e+03  1.5205262247e-01
   2   15  2.3535547033e+03  2.3522271566e+03  2.3522220000e+03  3.8013155618e-02
   2   16  2.4878794703e+03  2.4859497183e+03  2.4858730000e+03  4.2485291573e-02
   2   17  2.6222751463e+03  2.6196564171e+03  2.6196680000e+03  4.0249223595e-02
   2   18  2.7578012154e+03  2.7544105248e+03  2.7544390000e+03  3.8013155618e-02
   2   19  2.8938290091e+03  2.8895187820e+03  2.8895780000e+03  4.0249223595e-02
   2   20  3.0301880833e+03  3.0247373958e+03  3.0246890000e+03  4.0249223595e-02
   2   21  3.1666442732e+03  3.1598978976e+03  3.1598210000e+03  4.4721359550e-02
   2   22  3.3031038409e+03  3.2949659174e+03  3.2950630000e+03  5.5901699438e-02
   2   23  3.4401238678e+03  3.4305545396e+03  3.4307480000e+03  7.6026311235e-02
   2   24  3.5774702547e+03  3.5665218717e+03  3.5669490000e+03  9.8386991010e-02
   2   25  3.7150699155e+03  3.7029257017e+03  3.7030440000e+03  1.4981655449e-01
   2   26  3.8529906381e+03  3.8403151610e+03  3.8397170000e+03  3.2199378876e-01
   2   27  3.9909672113e+03  3.9793105736e+03  3.9769300000e+03  6.6634825730e-01
