
################################################################################
#############################   Model: best_MCMC   #############################
################################################################################
ln(P)                                   -1.808031808975759e+02
Mass                                     1.009873880386225e+00
log_Z                                   -1.617426321737548e+00
Age                                      4.588600618393138e+03
A3_surf                                  6.857351385625827e-16
Am1_surf                                -2.206074195186074e-09
Radius                                   1.003771230249138e+00
Mass                                     1.009912182357000e+00
log_g                                    4.439073087581851e+00
Rho                                      1.407759654226229e+00
Age                                      4.588600618393139e+03
Teff                                     5.702443934961964e+03
X                                        6.950365867841910e-01
numax                                    3.130174037299797e+03
Dnu                                      1.372512695074776e+02
Luminosity                               9.598506457053214e-01
Fe_H                                     1.556255143190996e-01
M_H                                      1.556255143190996e-01

################################################################################
################################   Frequencies   ###############################
################################################################################
l    n    freq_theo         freq+surf. corr.  freq_obs          dfreq_obs        
   0   15  2.2292884186e+03  2.2284082745e+03  2.2287490000e+03  3.1304951685e-02
   0   16  2.3641773710e+03  2.3628095522e+03  2.3627880000e+03  3.5777087640e-02
   0   17  2.4982359261e+03  2.4962601357e+03  2.4961800000e+03  3.8013155618e-02
   0   18  2.6323096045e+03  2.6296455840e+03  2.6296680000e+03  3.3541019662e-02
   0   19  2.7675554304e+03  2.7641100798e+03  2.7641420000e+03  3.3541019662e-02
   0   20  2.9033469748e+03  2.8989735928e+03  2.8990220000e+03  2.9068883707e-02
   0   21  3.0393311922e+03  3.0338085524e+03  3.0337540000e+03  3.1304951685e-02
   0   22  3.1755144993e+03  3.1686850270e+03  3.1686180000e+03  3.8013155618e-02
   0   23  3.3117074273e+03  3.3034918766e+03  3.3035200000e+03  4.6957427527e-02
   0   24  3.4484282243e+03  3.4387774302e+03  3.4389920000e+03  6.7082039325e-02
   0   25  3.5855683311e+03  3.5745402969e+03  3.5748930000e+03  1.0733126292e-01
   0   26  3.7228969270e+03  3.7106982257e+03  3.7107170000e+03  1.9677398202e-01
   0   27  3.8605790172e+03  3.8478883170e+03  3.8469930000e+03  3.9578403202e-01
   1   15  2.2929488566e+03  2.2918593880e+03  2.2919930000e+03  3.3541019662e-02
   1   16  2.4272955700e+03  2.4256540273e+03  2.4255950000e+03  3.3541019662e-02
   1   17  2.5615930234e+03  2.5592952622e+03  2.5591620000e+03  3.3541019662e-02
   1   18  2.6963837121e+03  2.6933696975e+03  2.6933470000e+03  3.1304951685e-02
   1   19  2.8319908016e+03  2.8281278973e+03  2.8281500000e+03  3.1304951685e-02
   1   20  2.9682544779e+03  2.9633589125e+03  2.9633220000e+03  3.1304951685e-02
   1   21  3.1043762740e+03  3.0982588104e+03  3.0981400000e+03  3.3541019662e-02
   1   22  3.2406847790e+03  3.2331987175e+03  3.2331390000e+03  4.0249223595e-02
   1   23  3.3773229690e+03  3.3684394910e+03  3.3684690000e+03  5.1429563483e-02
   1   24  3.5142619108e+03  3.5039619455e+03  3.5041290000e+03  6.7082039325e-02
   1   25  3.6516966373e+03  3.6400763658e+03  3.6404750000e+03  8.4970583145e-02
   1   26  3.7892710577e+03  3.7767545270e+03  3.7770670000e+03  1.1627553483e-01
   1   27  3.9270610053e+03  3.9146669761e+03  3.9135700000e+03  1.5205262247e-01
   2   15  2.3535916920e+03  2.3522659897e+03  2.3522220000e+03  3.8013155618e-02
   2   16  2.4879192932e+03  2.4859921211e+03  2.4858730000e+03  4.2485291573e-02
   2   17  2.6223152981e+03  2.6196999981e+03  2.6196680000e+03  4.0249223595e-02
   2   18  2.7578420606e+03  2.7544556839e+03  2.7544390000e+03  3.8013155618e-02
   2   19  2.8938715096e+03  2.8895667836e+03  2.8895780000e+03  4.0249223595e-02
   2   20  3.0302308194e+03  3.0247870469e+03  3.0246890000e+03  4.0249223595e-02
   2   21  3.1666887383e+03  3.1599507193e+03  3.1598210000e+03  4.4721359550e-02
   2   22  3.3031491554e+03  3.2950212577e+03  3.2950630000e+03  5.5901699438e-02
   2   23  3.4401694940e+03  3.4306116053e+03  3.4307480000e+03  7.6026311235e-02
   2   24  3.5775176084e+03  3.5665818310e+03  3.5669490000e+03  9.8386991010e-02
   2   25  3.7151175583e+03  3.7029863102e+03  3.7030440000e+03  1.4981655449e-01
   2   26  3.8530394654e+03  3.8403748714e+03  3.8397170000e+03  3.2199378876e-01
   2   27  3.9910174210e+03  3.9793650236e+03  3.9769300000e+03  6.6634825730e-01
