Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.400091177659752e+00     1.400666038468978e+00     1.402703283277798e+00     1.407575351129590e+00     1.415393866791876e+00     3.454656330306394e-03     7.651344566061979e-03 
log_Z                        -2.045345229214581e+00    -2.042695851765404e+00    -2.034112910748587e+00    -2.016247452811793e+00    -1.989587036369358e+00     1.322419947680564e-02     2.787909642261155e-02 
mHe                           1.707414680102411e-01     1.715510853058891e-01     1.720823228425777e-01     1.723643159863696e-01     1.724983125518222e-01     4.066153402402517e-04     8.784222707905881e-04 
A3_surf                       6.234278278978157e-11     6.500521112983230e-11     6.766915549511982e-11     7.026833167958826e-11     7.279050859975959e-11     2.631560274877976e-12     5.223862904989010e-12 
Am1_surf                     -5.886998253272502e-06    -5.743093227490161e-06    -5.598048596269288e-06    -5.448949960565624e-06    -5.298512300349743e-06     1.470716334622688e-07     2.942429764613798e-07 
Radius                        1.030202992419196e+01     1.031106030478948e+01     1.032119468727621e+01     1.033557819766291e+01     1.035821279509057e+01     1.225894643671754e-02     2.809143544930581e-02 
Mass                          1.400091177659752e+00     1.400666038468978e+00     1.402703283277799e+00     1.407575351129591e+00     1.415393866791876e+00     3.454656330306505e-03     7.651344566061979e-03 
log_g                         2.556456739190140e+00     2.557109438573316e+00     2.557785963385206e+00     2.558498191642148e+00     2.559241859630830e+00     6.943765344158415e-04     1.392560220345063e-03 
Rho                           1.791089813667747e-03     1.795258728412571e-03     1.799243613735328e-03     1.803144008464990e-03     1.807133682535186e-03     3.942640026209599e-06     8.021934433719187e-06 
Age                           2.778845322958453e+03     2.829852218210636e+03     2.859913353082244e+03     2.898123225738157e+03     2.955459924739479e+03     3.413550376376043e+01     8.830730089051258e+01 
Teff                          4.682086177041657e+03     4.696507621247126e+03     4.706260548189261e+03     4.710871596019215e+03     4.712650308439795e+03     7.181987386044511e+00     1.528206569906934e+01 
Xc                            4.701292420868813e-34     4.722036069272741e-34     4.765017261028870e-34     4.841027378703683e-34     4.952686607164584e-34     5.949565471547063e-36     1.256970931478853e-35 
Luminosity                    4.613686371785365e+01     4.670053135632210e+01     4.707838528147822e+01     4.728945741021852e+01     4.753488869720265e+01     2.944630269482076e-01     6.990124896744980e-01 
Dnu                           4.489349092470284e+00     4.494858719158863e+00     4.501084881078372e+00     4.509240659687359e+00     4.516479445183502e+00     7.190970264248087e-03     1.356517635660914e-02 
numax                         4.494811231132666e+01     4.501778250268801e+01     4.509210072369920e+01     4.517353212165454e+01     4.526588375859535e+01     7.787480948326220e-02     1.588857236343451e-01 
Fe_H                         -2.960005773706018e-01    -2.929693602693771e-01    -2.832844610217881e-01    -2.637559921574066e-01    -2.360690945365712e-01     1.460668405598523e-02     2.996574141701526e-02 
