Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.400160037063622e+00     1.401183232127791e+00     1.404861927077908e+00     1.412661976039782e+00     1.424442106821381e+00     5.739371955995498e-03     1.214103487887941e-02 
log_Z                        -2.045070345105973e+00    -2.040702691903345e+00    -2.027223908091272e+00    -2.001316562652045e+00    -1.965476410691781e+00     1.969306462564990e-02     3.979696720709625e-02 
mHe                           1.670418036224240e-01     1.681680102487222e-01     1.689454225132545e-01     1.694074519689666e-01     1.696294494447269e-01     6.197208601221998e-04     1.293822911151446e-03 
A3_surf                       4.346760167022098e-11     4.525940163151297e-11     4.707664992225048e-11     4.892178902573765e-11     5.073176914932378e-11     1.831193697112338e-12     3.632083739551404e-12 
Am1_surf                     -4.574628422934531e-06    -4.480940212859477e-06    -4.382645626566633e-06    -4.285708836536599e-06    -4.188490178885041e-06     9.761568816143926e-08     1.930691220247447e-07 
Radius                        9.693331788033785e+00     9.699875115770686e+00     9.710020992891685e+00     9.729483910748609e+00     9.758864780008041e+00     1.480439748896156e-02     3.276649598712833e-02 
Mass                          1.400160037063622e+00     1.401183232127791e+00     1.404861927077908e+00     1.412661976039782e+00     1.424442106821381e+00     5.739371955995387e-03     1.214103487887941e-02 
log_g                         2.610395131116384e+00     2.610846189437370e+00     2.611379174942404e+00     2.612103867342457e+00     2.613114181167921e+00     6.288389525432869e-04     1.359525025768527e-03 
Rho                           2.157478190017081e-03     2.160483530031277e-03     2.163518167231930e-03     2.166556821818476e-03     2.169378640548278e-03     3.036645893599336e-06     5.950225265598501e-06 
Age                           2.718734684246082e+03     2.798984850517702e+03     2.852520507113518e+03     2.911129760096141e+03     2.995678529052607e+03     5.607245478921936e+01     1.384719224032626e+02 
Teff                          4.695262982456423e+03     4.714967486181882e+03     4.729066650184617e+03     4.736375989091217e+03     4.739353712810855e+03     1.070425145466743e+01     2.204536517721590e+01 
Xc                            4.708788570116190e-34     4.745937245258929e-34     4.817004989163453e-34     4.929322844797591e-34     5.113395738548761e-34     9.169279976933099e-36     2.023035842162858e-35 
Luminosity                    4.126958907520808e+01     4.198927488650587e+01     4.249617908498053e+01     4.279419790984213e+01     4.315832736197442e+01     4.024615116681325e-01     9.443691433831702e-01 
Dnu                           4.957104110092086e+00     4.960488225298945e+00     4.963979557978403e+00     4.967498608283191e+00     4.970795179202653e+00     3.505191492123139e-03     6.845534555283361e-03 
numax                         5.075748473736485e+01     5.081698515678589e+01     5.089748117992437e+01     5.100078892181215e+01     5.112691287354919e+01     9.190188251313103e-02     1.847140680921697e-01 
Fe_H                         -2.956851442984443e-01    -2.907020450962391e-01    -2.756558242735206e-01    -2.480464721228215e-01    -2.123802357736894e-01     2.132778648670877e-02     4.165245426237743e-02 
