Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.400869879240488e+00     1.406176445381344e+00     1.419135093432461e+00     1.438878417686658e+00     1.460354103463372e+00     1.635098615265718e-02     2.974211211144162e-02 
log_Z                        -2.044267757678794e+00    -2.035358303110590e+00    -2.010696562741684e+00    -1.972384517518509e+00    -1.912716786721215e+00     3.148689279604033e-02     6.577548547878953e-02 
mHe                           1.643594348070975e-01     1.662734322669439e-01     1.680617288328466e-01     1.693054419619890e-01     1.700716605086888e-01     1.516004847522540e-03     2.856112850795664e-03 
A3_surf                       4.825519101825600e-11     5.106669495726969e-11     5.383700667049771e-11     5.642210942007885e-11     5.902358982767751e-11     2.677707231404580e-12     5.384199404710751e-12 
Am1_surf                     -5.119785519134654e-06    -5.005413062383267e-06    -4.888807068977629e-06    -4.769741600589939e-06    -4.642787993067502e-06     1.178357308966638e-07     2.384987630335762e-07 
Radius                        9.857763586078296e+00     9.873318785501148e+00     9.906507632358633e+00     9.956636266128395e+00     1.001146086227624e+01     4.165874031362371e-02     7.684863809897458e-02 
Mass                          1.400869879240488e+00     1.406176445381344e+00     1.419135093432462e+00     1.438878417686658e+00     1.460354103463372e+00     1.635098615265718e-02     2.974211211144173e-02 
log_g                         2.596441626842759e+00     2.597167743957289e+00     2.598325835044191e+00     2.599948760966048e+00     2.601697020296470e+00     1.390508504379495e-03     2.627696726855699e-03 
Rho                           2.049795598125099e-03     2.053842232625806e-03     2.057782242110322e-03     2.061284428735587e-03     2.064613122258705e-03     3.721098054890312e-06     7.408762066802872e-06 
Age                           2.515273636004767e+03     2.657210839680538e+03     2.798460489034766e+03     2.919602359277622e+03     3.077161944663877e+03     1.311957597985420e+02     2.809441543295547e+02 
Teff                          4.661707520760656e+03     4.694794145512200e+03     4.715967252127908e+03     4.730024765303463e+03     4.737383534427164e+03     1.761530989563153e+01     3.783800683325398e+01 
Xc                            4.761072941308225e-34     4.874038942082096e-34     5.067493173074126e-34     5.426771600422766e-34     6.033975801478600e-34     2.763663291703353e-35     6.364514300851875e-35 
Luminosity                    4.159000934237313e+01     4.285360566253033e+01     4.372982097845617e+01     4.451805391029256e+01     4.531149843442326e+01     8.322241238811152e-01     1.860744546025064e+00 
Dnu                           4.831398099080557e+00     4.835003776377604e+00     4.838570394235580e+00     4.842085028188963e+00     4.845575925051185e+00     3.540625905679384e-03     7.088912985314000e-03 
numax                         4.922874093570963e+01     4.933246683960699e+01     4.947384976782651e+01     4.964465029510914e+01     4.983120995175236e+01     1.560917277510718e-01     3.012345080213663e-01 
Fe_H                         -2.947654022675251e-01    -2.846771617838954e-01    -2.578530457740803e-01    -2.190448260484896e-01    -1.564192901776579e-01     3.281616786770292e-02     6.917305604493362e-02 
