# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Mass of He core, $M_{He-core}/M_{\odot}$ $A_3^{\mathrm{surf}}$  $A_{-1}^{\mathrm{surf}}$
  -6.131292112814093e+01  1.408003932727146e+00 -2.020250350615889e+00  1.858011859299642e-01  1.708213456456400e-10 -9.338810399270759e-06
  -6.131292112814093e+01  1.408003932727146e+00 -2.020250350615889e+00  1.858011859299642e-01  1.708213456456400e-10 -9.338810399270759e-06
  -6.483393275330982e+01  1.406973840160036e+00 -2.035521453047528e+00  1.792943688363416e-01  1.540818935325445e-10 -8.733423980146345e-06
  -6.483393275330982e+01  1.406973840160036e+00 -2.035521453047528e+00  1.792943688363416e-01  1.540818935325445e-10 -8.733423980146345e-06
  -6.483393275330982e+01  1.406973840160036e+00 -2.035521453047528e+00  1.792943688363416e-01  1.540818935325445e-10 -8.733423980146345e-06
  -6.483393275330982e+01  1.406973840160036e+00 -2.035521453047528e+00  1.792943688363416e-01  1.540818935325445e-10 -8.733423980146345e-06
  -6.139081406913672e+01  1.408572723321988e+00 -2.026458277905986e+00  1.860193337133430e-01  1.564024185056593e-10 -8.843244102876265e-06
  -6.139081406913672e+01  1.408572723321988e+00 -2.026458277905986e+00  1.860193337133430e-01  1.564024185056593e-10 -8.843244102876265e-06
  -6.139081406913672e+01  1.408572723321988e+00 -2.026458277905986e+00  1.860193337133430e-01  1.564024185056593e-10 -8.843244102876265e-06
  -6.174349410457048e+01  1.409108256502488e+00 -2.026955325472005e+00  1.859818960633420e-01  1.564028642518984e-10 -8.844799795325144e-06
  -6.174349410457048e+01  1.409108256502488e+00 -2.026955325472005e+00  1.859818960633420e-01  1.564028642518984e-10 -8.844799795325144e-06
  -6.174349410457048e+01  1.409108256502488e+00 -2.026955325472005e+00  1.859818960633420e-01  1.564028642518984e-10 -8.844799795325144e-06
  -6.174349410457048e+01  1.409108256502488e+00 -2.026955325472005e+00  1.859818960633420e-01  1.564028642518984e-10 -8.844799795325144e-06
  -6.174349410457048e+01  1.409108256502488e+00 -2.026955325472005e+00  1.859818960633420e-01  1.564028642518984e-10 -8.844799795325144e-06
  -6.174349410457048e+01  1.409108256502488e+00 -2.026955325472005e+00  1.859818960633420e-01  1.564028642518984e-10 -8.844799795325144e-06
  -6.216773021867032e+01  1.400324849443214e+00 -2.035184927350838e+00  1.799082200895487e-01  1.707027537779043e-10 -9.313110929868287e-06
  -6.216773021867032e+01  1.400324849443214e+00 -2.035184927350838e+00  1.799082200895487e-01  1.707027537779043e-10 -9.313110929868287e-06
  -6.389164682293151e+01  1.402247235951822e+00 -2.010071284354120e+00  1.794579692434968e-01  1.744065338014307e-10 -9.457800153407449e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
  -5.983573058841803e+01  1.400225221554838e+00 -2.039865973275266e+00  1.800197061405981e-01  1.588913742006173e-10 -8.897580071691035e-06
