Percentiles
===========

Quantity                  -2sigma                   -1sigma                   Median                    +1sigma                   +2sigma                  1sig                      2sig                     
Mass                          1.400060775628231e+00     1.400406710219016e+00     1.401631531681566e+00     1.406059475803479e+00     1.412132605104170e+00     2.826382792231241e-03     6.035914737969605e-03 
log_Z                        -2.044579538171365e+00    -2.041258748060033e+00    -2.028279140052639e+00    -2.014317700144719e+00    -1.989625861125799e+00     1.347052395765691e-02     2.747683852278304e-02 
mHe                           1.791246251656696e-01     1.796267239381262e-01     1.798477471463914e-01     1.855623171271593e-01     1.861561743976941e-01     2.967796594516514e-03     3.515774616012268e-03 
A3_surf                       1.525694965458545e-10     1.572755260034110e-10     1.629292595301617e-10     1.689887755688627e-10     1.736898781063265e-10     5.856624782725829e-12     1.056019078023600e-11 
Am1_surf                     -9.448914997352225e-06    -9.285232768482671e-06    -9.050445555595731e-06    -8.880390346366551e-06    -8.716887114700012e-06     2.024212110580598e-07     3.660139413261069e-07 
Radius                        1.202791379124089e+01     1.203534276665179e+01     1.204795967334502e+01     1.206429280753492e+01     1.208571564172886e+01     1.447502044156579e-02     2.890092524398469e-02 
Mass                          1.400060775628231e+00     1.400406710219016e+00     1.401631531681566e+00     1.406059475803479e+00     1.412132605104171e+00     2.826382792231241e-03     6.035914737969716e-03 
log_g                         2.422158198583061e+00     2.422630220377904e+00     2.423064837455605e+00     2.423899235021693e+00     2.424310382187500e+00     6.345073218945174e-04     1.076091802219681e-03 
Rho                           1.126188986590110e-03     1.128083588852521e-03     1.130352956029412e-03     1.132888181952504e-03     1.135250585945187e-03     2.402296549991576e-06     4.530799677538474e-06 
Age                           2.848823764124292e+03     2.874648490400948e+03     2.896194154309137e+03     2.930296705197696e+03     2.992281638382462e+03     2.782410739837405e+01     7.172893712908512e+01 
Teff                          4.614326998976584e+03     4.629826396216068e+03     4.636254537296942e+03     4.642460128545877e+03     4.644518829394522e+03     6.316866164904241e+00     1.509591520896902e+01 
Xc                            4.700517658003525e-34     4.718216357805739e-34     4.759665176342115e-34     4.847699814609947e-34     4.918134152486209e-34     6.474172840210392e-36     1.088082472413423e-35 
Luminosity                    5.932656710234643e+01     6.013833352731726e+01     6.047163994892346e+01     6.070827867898403e+01     6.092174180447006e+01     2.849725758333861e-01     7.975873510618143e-01 
Dnu                           3.522459126487769e+00     3.525132707335552e+00     3.528285157215113e+00     3.532985005648963e+00     3.535314560224573e+00     3.926149156705527e-03     6.427716868401934e-03 
numax                         3.323442744830778e+01     3.326956121721293e+01     3.331733220717033e+01     3.337082137961941e+01     3.341077026468756e+01     5.063008120324142e-02     8.817140818989344e-02 
Fe_H                         -2.951224917321447e-01    -2.913334616200343e-01    -2.768161890992163e-01    -2.616952821551807e-01    -2.361083374908603e-01     1.481908973242679e-02     2.950707712064220e-02 
