# ln(P)                  Mass, $M/M_{\odot}$    Metallicity, $\log_{10}\left(Z_0\right)$ Mass of He core, $M_{He-core}/M_{\odot}$
  -4.605249767058410e+02  1.453310188036438e+00 -1.491557290355399e+00  1.850049802909224e-01
  -4.606363122667940e+02  1.453929545903898e+00 -1.491013425174625e+00  1.850237346886379e-01
  -4.584244109558866e+02  1.448456905836053e+00 -1.480458354180961e+00  1.847890645085023e-01
  -4.613446638809235e+02  1.450007768939264e+00 -1.480644175168689e+00  1.848408295586501e-01
  -4.600051348556261e+02  1.449642083327012e+00 -1.480507940432021e+00  1.848281073678699e-01
  -4.589096985986724e+02  1.449911357053808e+00 -1.479836271876760e+00  1.848326283142497e-01
  -4.601896906537835e+02  1.451433440641535e+00 -1.492926774710614e+00  1.849482189348705e-01
  -4.594109342459432e+02  1.452408241478399e+00 -1.484977891828905e+00  1.849409211979090e-01
  -4.595478412635155e+02  1.452734697644244e+00 -1.486472725190172e+00  1.849598906742373e-01
  -4.592282170603974e+02  1.452422088455189e+00 -1.486197564592044e+00  1.849483777506502e-01
  -4.624714367934299e+02  1.463099109750069e+00 -1.488743778561704e+00  1.853134613264178e-01
  -4.615405516864544e+02  1.458364171598490e+00 -1.488058683126122e+00  1.851567725909784e-01
  -4.633136237409169e+02  1.456167342142572e+00 -1.499204618432082e+00  1.851385016608726e-01
  -4.633136237409169e+02  1.456167342142572e+00 -1.499204618432082e+00  1.851385016608726e-01
  -4.629316310346106e+02  1.444862295136210e+00 -1.480555904641147e+00  1.846767000520632e-01
  -4.629316310346106e+02  1.444862295136210e+00 -1.480555904641147e+00  1.846767000520632e-01
  -4.625207601043839e+02  1.458569444743561e+00 -1.489239322343153e+00  1.851669127319633e-01
  -4.623735937357791e+02  1.463263842454394e+00 -1.488963940782996e+00  1.853229283838378e-01
  -4.623735937357791e+02  1.463263842454394e+00 -1.488963940782996e+00  1.853229283838378e-01
  -4.614159607324495e+02  1.456186516846697e+00 -1.491311431487737e+00  1.851005884773645e-01
  -4.626283100652437e+02  1.463429959939894e+00 -1.489624983207440e+00  1.853318455363082e-01
  -4.627461258680881e+02  1.464958734321963e+00 -1.490827622799918e+00  1.853885800454538e-01
  -4.619741328721282e+02  1.460391657113453e+00 -1.488023378415915e+00  1.852222298726510e-01
  -4.624192199429447e+02  1.445135287258193e+00 -1.488976144804985e+00  1.847192106118098e-01
  -4.618317005061970e+02  1.445498321406667e+00 -1.487015331138826e+00  1.847218586891873e-01
  -4.596908198875960e+02  1.447779200831929e+00 -1.480422049197841e+00  1.847639119558269e-01
  -4.596908198875960e+02  1.447779200831929e+00 -1.480422049197841e+00  1.847639119558269e-01
  -4.598795556177451e+02  1.447800702964172e+00 -1.480449547616615e+00  1.847645764310211e-01
  -4.584753710663135e+02  1.446624570221915e+00 -1.479015434704340e+00  1.847220837587262e-01
  -4.585092128477999e+02  1.446858039052168e+00 -1.479027134616491e+00  1.847293521832745e-01
  -4.585092128477999e+02  1.446858039052168e+00 -1.479027134616491e+00  1.847293521832745e-01
  -4.585092128477999e+02  1.446858039052168e+00 -1.479027134616491e+00  1.847293521832745e-01
  -4.585092128477999e+02  1.446858039052168e+00 -1.479027134616491e+00  1.847293521832745e-01
  -4.585092128477999e+02  1.446858039052168e+00 -1.479027134616491e+00  1.847293521832745e-01
  -4.585092128477999e+02  1.446858039052168e+00 -1.479027134616491e+00  1.847293521832745e-01
  -4.585092128477999e+02  1.446858039052168e+00 -1.479027134616491e+00  1.847293521832745e-01
  -4.585092128477999e+02  1.446858039052168e+00 -1.479027134616491e+00  1.847293521832745e-01
  -4.587806593144111e+02  1.445380691900269e+00 -1.478943043617782e+00  1.846828880320488e-01
