
################################################################################
#############################   Model: best_MCMC   #############################
################################################################################
ln(P)                                   -3.695549315307182e+03
Mass                                     9.941739767160848e-01
log_Z                                   -1.662324992416840e+00
Age                                      5.209736739913968e+03
A3_surf                                 -3.062772002437550e-16
Am1_surf                                -7.986005994566894e-09
Radius                                   9.973382892072508e-01
Mass                                     9.941739767160848e-01
log_g                                    4.437836370284991e+00
Rho                                      1.412810937648276e+00
Age                                      5.209736739913968e+03
Teff                                     5.669075826058486e+03
X                                        7.014298590530988e-01
numax                                    3.130445496244954e+03
Dnu                                      1.378301902789388e+02
Luminosity                               9.256134913775630e-01
Fe_H                                     1.253691500937785e-01
M_H                                      1.253691500937785e-01

################################################################################
################################   Frequencies   ###############################
################################################################################
l    n    freq_theo         freq+surf. corr.  freq_obs          dfreq_obs        
   0   15  2.2306238415e+03  2.2287654197e+03  2.2287490000e+03  1.4000000000e-02
   0   16  2.3658082432e+03  2.3630937500e+03  2.3627880000e+03  1.6000000000e-02
   0   17  2.4999262998e+03  2.4962033795e+03  2.4961800000e+03  1.7000000000e-02
   0   18  2.6342877346e+03  2.6295550776e+03  2.6296680000e+03  1.5000000000e-02
   0   19  2.7694799602e+03  2.7637552826e+03  2.7641420000e+03  1.5000000000e-02
   0   20  2.9055127596e+03  2.8986830840e+03  2.8990220000e+03  1.3000000000e-02
   0   21  3.0419551144e+03  3.0338559117e+03  3.0337540000e+03  1.4000000000e-02
   0   22  3.1783261861e+03  3.1687920923e+03  3.1686180000e+03  1.7000000000e-02
   0   23  3.3149336494e+03  3.3038820481e+03  3.3035200000e+03  2.1000000000e-02
   0   24  3.4517812561e+03  3.4391928829e+03  3.4389920000e+03  3.0000000000e-02
   0   25  3.5890652181e+03  3.5747905741e+03  3.5748930000e+03  4.8000000000e-02
   0   26  3.7267881843e+03  3.7106206169e+03  3.7107170000e+03  8.8000000000e-02
   0   27  3.8646217159e+03  3.8462486264e+03  3.8469930000e+03  1.7700000000e-01
   1   15  2.2942559604e+03  2.2920200946e+03  2.2919930000e+03  1.5000000000e-02
   1   16  2.4290909614e+03  2.4259026950e+03  2.4255950000e+03  1.5000000000e-02
   1   17  2.5633711638e+03  2.5591624536e+03  2.5591620000e+03  1.5000000000e-02
   1   18  2.6982224535e+03  2.6930138694e+03  2.6933470000e+03  1.4000000000e-02
   1   19  2.8341329848e+03  2.8278941638e+03  2.8281500000e+03  1.4000000000e-02
   1   20  2.9704990216e+03  2.9630827460e+03  2.9633220000e+03  1.4000000000e-02
   1   21  3.1071274576e+03  3.0983395604e+03  3.0981400000e+03  1.5000000000e-02
   1   22  3.2437495343e+03  3.2334917004e+03  3.2331390000e+03  1.8000000000e-02
   1   23  3.3804987499e+03  3.3687024591e+03  3.3684690000e+03  2.3000000000e-02
   1   24  3.5177728786e+03  3.5043811429e+03  3.5041290000e+03  3.0000000000e-02
   1   25  3.6553168974e+03  3.6401657701e+03  3.6404750000e+03  3.8000000000e-02
   1   26  3.7932154865e+03  3.7760005460e+03  3.7770670000e+03  5.2000000000e-02
   1   27  3.9313310248e+03  3.9117508353e+03  3.9135700000e+03  6.8000000000e-02
   2   15  2.3551532813e+03  2.3525074489e+03  2.3522220000e+03  1.7000000000e-02
   2   16  2.4896493814e+03  2.4859949125e+03  2.4858730000e+03  1.9000000000e-02
   2   17  2.6242975416e+03  2.6196270007e+03  2.6196680000e+03  1.8000000000e-02
   2   18  2.7597325153e+03  2.7540664847e+03  2.7544390000e+03  1.7000000000e-02
   2   19  2.8960736638e+03  2.8893084466e+03  2.8895780000e+03  1.8000000000e-02
   2   20  3.0328117028e+03  3.0247858275e+03  3.0246890000e+03  1.8000000000e-02
   2   21  3.1694985934e+03  3.1600369348e+03  3.1598210000e+03  2.0000000000e-02
   2   22  3.3064018843e+03  3.2954230599e+03  3.2950630000e+03  2.5000000000e-02
   2   23  3.4434938964e+03  3.4309750833e+03  3.4307480000e+03  3.4000000000e-02
   2   24  3.5810456397e+03  3.5668445553e+03  3.5669490000e+03  4.4000000000e-02
   2   25  3.7190038945e+03  3.7029237921e+03  3.7030440000e+03  6.7000000000e-02
   2   26  3.8570725842e+03  3.8387947493e+03  3.8397170000e+03  1.4400000000e-01
   2   27  3.9954560168e+03  3.9745870941e+03  3.9769300000e+03  2.9800000000e-01
